ticker,LLLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-01,26.9231
2005-04-04,5.4545
2005-04-05,2.8736
2005-04-06,1.6760000000000002
2005-04-07,1.0989
2005-04-08,0.5435
2005-04-11,1.0811
2005-04-12,-1.0695000000000001
2005-04-13,2.1622
2005-04-14,-1.3228
2005-04-15,4.0214
2005-04-18,-0.5155
2005-04-19,-0.5181
2005-04-20,0.0
2005-04-22,0.0
2005-04-26,-1.0417
2005-04-27,-2.1053
2005-04-28,4.3011
2005-05-02,-2.0619
2005-05-03,-2.6316
2005-05-04,0.0
2005-05-09,0.0
2005-05-11,4.3243
2005-05-12,0.5181
2005-05-13,0.0
2005-05-16,1.5464
2005-05-17,7.6142
2005-05-18,14.1509
2005-05-19,-4.9587
2005-05-20,6.5217
2005-05-23,9.7959
2005-05-24,4.461
2005-05-25,16.3701
2005-05-26,23.5474
2005-05-27,-19.3069
2005-05-31,12.5767
2005-06-01,16.3488
2005-06-02,-9.8361
2005-06-03,-3.8961
2005-06-06,-8.6486
2005-06-07,-18.3432
2005-06-08,-20.2899
2005-06-09,14.5455
2005-06-10,-5.1587
2005-06-13,1.2551999999999999
2005-06-14,-2.0661
2005-06-15,1.2658
2005-06-16,-4.5833
2005-06-17,0.8734
2005-06-20,-3.4632
2005-06-21,-5.3812
2005-06-22,-9.9526
2005-06-23,-15.7895
2005-06-24,14.375
2005-06-27,-3.8251
2005-06-28,-4.5455
2005-06-29,1.1905000000000001
2005-06-30,-4.1176
2005-07-01,-1.8405
2005-07-05,-10.625
2005-07-06,-16.7832
2005-07-07,17.647100000000002
2005-07-08,-5.7143
2005-07-11,3.0303
2005-07-12,2.9412000000000003
2005-07-13,3.5714
2005-07-14,13.1034
2005-07-15,3.6585
2005-07-18,3.5294
2005-07-19,0.5682
2005-07-20,-6.2147
2005-07-21,0.0
2005-07-22,-6.0241
2005-07-25,-7.0513
2005-07-26,5.5172
2005-07-27,4.5752
2005-07-28,6.25
2005-07-29,-4.7059
2005-08-01,0.0
2005-08-02,-6.1728
2005-08-03,-5.2632
2005-08-04,-5.5556
2005-08-05,2.2059
2005-08-08,-5.7554
2005-08-09,-6.1068999999999996
2005-08-10,11.3821
2005-08-11,-0.7299
2005-08-12,-4.4118
2005-08-15,2.3077
2005-08-16,-3.0075
2005-08-17,1.3566
2005-08-18,-4.3977
2005-08-19,-3.2
2005-08-22,-1.6529
2005-08-23,-4.2017
2005-08-24,-5.2632
2005-08-25,2.7778
2005-08-26,-4.5045
