ticker,PYPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-07,-0.2452
2015-07-08,-5.243
2015-07-09,-0.5764
2015-07-10,0.5507
2015-07-13,6.0248
2015-07-14,0.4078
2015-07-15,1.5705
2015-07-16,2.9859
2015-07-17,-0.6213
2015-07-20,5.4181
2015-07-21,-2.7675
2015-07-22,-2.4396
2015-07-23,-3.5947
2015-07-24,-0.027
2015-07-27,-1.6486
2015-07-28,3.3251
2015-07-29,0.9309
2015-07-30,1.3175
2015-07-31,0.6502
2015-08-03,1.7829000000000002
2015-08-04,-1.117
2015-08-05,0.8216
2015-08-06,-1.0695000000000001
2015-08-07,0.7207
2015-08-10,-0.2044
2015-08-11,-0.5122
2015-08-12,-1.6987999999999999
2015-08-13,-1.4925
2015-08-14,1.3822
2015-08-17,1.5469
2015-08-18,-1.9106999999999998
2015-08-19,-2.1058
2015-08-20,-3.2536
2015-08-21,-4.8082
2015-08-24,-1.4599
2015-08-25,-3.1111
2015-08-26,1.4373
2015-08-27,4.3714
2015-08-28,1.2132
2015-08-31,-0.1142
2015-09-01,-3.5143
2015-09-02,3.8496
2015-09-03,0.6843
2015-09-04,-2.8887
2015-09-08,1.1957
2015-09-09,-0.951
2015-09-10,-2.6477
2015-09-11,0.269
2015-09-14,0.6557
2015-09-15,0.0888
2015-09-16,-0.0888
2015-09-17,-1.3325
2015-09-18,-1.2005
2015-09-21,4.0401
2015-09-22,-2.6277
2015-09-23,2.4288
2015-09-24,-0.7319
2015-09-25,-0.4129
2015-09-28,-4.501
2015-09-29,-5.0233
2015-09-30,1.3386
2015-10-01,1.4175
2015-10-02,4.2884
2015-10-05,-0.4874
2015-10-06,-2.4793
2015-10-07,1.6320999999999999
2015-10-08,-2.1927
2015-10-09,1.2314
2015-10-12,1.7779
2015-10-13,1.8082
2015-10-14,2.4985
2015-10-15,1.674
2015-10-16,-0.9532
2015-10-19,1.604
2015-10-20,0.0861
2015-10-21,-2.9825
2015-10-22,2.8377
2015-10-23,0.5749
2015-10-26,4.144
2015-10-27,-1.3721
2015-10-28,1.6138
2015-10-29,-1.6703000000000001
2015-10-30,0.2785
2015-11-02,2.7215
2015-11-03,2.4601
2015-11-04,-0.7916
2015-11-05,-2.367
2015-11-06,-1.2803
2015-11-09,0.9934
2015-11-10,1.0929
2015-11-11,-1.8108
2015-11-12,-2.0919
2015-11-13,-2.9238
2015-11-16,3.1277
2015-11-17,1.6848999999999998
2015-11-18,0.0276
2015-11-19,-0.0828
