ticker,BEAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-19,-1.6667
2008-03-20,1.8079
2008-03-24,0.222
2008-03-25,-2.8239
2008-03-26,0.2279
2008-03-27,-0.5117
2008-03-28,3.1429
2008-03-31,-0.3324
2008-04-01,1.4452
2008-04-02,0.2192
2008-04-03,-0.2187
2008-04-04,0.8219
2008-04-07,3.9130000000000003
2008-04-08,3.818
2008-04-09,-0.2015
2008-04-10,-0.0505
2008-04-11,0.0505
2008-04-14,-0.3029
2008-04-15,1.2658
2008-04-16,0.0
2008-04-17,-0.4
2008-04-18,0.4016
2008-04-21,0.0
2008-04-22,-0.2
2008-04-23,0.1002
2008-04-24,0.1502
2008-04-25,7.4463
2008-04-28,7.6744
2008-04-29,-3.067
2008-04-30,2.9412000000000003
2008-05-01,-1.0701
2008-05-02,0.6441
2008-05-05,0.1304
2008-05-06,4.3856
2008-05-07,-0.1664
2008-05-08,0.0
2008-05-09,-1.4167
2008-05-12,5.4522
2008-05-13,-0.0802
2008-05-14,-2.7276
2008-05-15,0.0825
2008-05-16,-0.618
2008-05-19,-0.2907
2008-05-20,-3.617
2008-05-21,-2.0276
2008-05-22,1.2770000000000001
2008-05-23,0.7826
2008-05-27,4.8749
2008-05-28,-0.2468
2008-05-29,1.0309
2008-05-30,4.9388
2008-06-02,6.9623
2008-06-03,0.0
2008-06-04,0.8727
2008-06-05,-3.0281
2008-06-06,3.1599
2008-06-09,1.4054
2008-06-10,-4.2289
2008-06-11,-3.8219
2008-06-12,0.6944
2008-06-13,7.8161000000000005
2008-06-16,6.6809
2008-06-17,-0.1332
2008-06-18,-0.467
2008-06-19,0.5362
2008-06-20,0.3667
2008-06-23,-2.5905
2008-06-24,-0.7842
2008-06-25,-3.2646
2008-06-26,-2.6288
2008-06-27,-2.5903
2008-06-30,-0.2622
2008-07-01,1.2768
2008-07-02,-0.3337
2008-07-03,1.7856999999999998
2008-07-07,2.924
2008-07-08,2.9474
2008-07-09,-0.7589
2008-07-10,0.5909
2008-07-11,-0.9675
2008-07-14,0.9072
2008-07-15,-0.4841
2008-07-16,0.7644
2008-07-17,-0.5172
2008-07-18,3.8821
2008-07-21,-0.4004
2008-07-22,-6.7002
2008-07-23,0.3591
2008-07-24,-0.1789
2008-07-25,3.7634
2008-07-28,-6.7012
2008-07-29,0.074
2008-07-30,-2.6267
2008-07-31,4.7112
2008-08-01,3.5559
2008-08-04,1.4365999999999999
2008-08-05,1.8998
2008-08-06,9.0169
