ticker,FCCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-07,-3.0303
2007-02-26,0.3125
2007-04-13,-4.0498
2007-05-17,-1.2987
2007-07-31,0.0
2007-08-07,9.8684
2007-08-15,0.0
2007-08-16,0.5988
2007-09-05,-5.9524
2007-10-02,-3.481
2007-10-03,3.2787
2007-10-05,0.254
2007-10-12,6.3965
2007-10-16,-4.7619
2007-10-24,-9.375
2007-10-25,0.0
2007-11-14,13.7931
2007-11-30,-1.2121
2007-12-04,1.227
2008-02-20,-12.1212
2008-02-27,-6.8966
2008-02-28,7.4074
2008-03-04,-3.4483
2008-04-04,14.2857
2008-06-16,3.125
2008-06-19,-9.0909
2008-07-07,-20.0
2008-09-12,0.0
2008-09-15,2.9167
2008-10-06,-16.5992
2008-11-20,0.0
2008-12-10,-19.4175
2009-01-12,2.4096
2009-01-16,-5.8824
2009-02-10,-12.5
2009-02-17,-2.8571
2009-06-08,17.647100000000002
2009-06-11,-36.875
2009-06-12,43.5644
2009-10-21,-24.1379
2009-12-15,1.8182
2009-12-23,4.4643
2009-12-28,-4.2735
2010-03-03,7.1429
2010-03-16,0.0
2010-03-17,0.0
2010-05-07,0.0
2010-07-26,-15.8333
2010-07-27,-2.3762
2010-07-30,1.4199
2010-08-06,20.0
2010-08-25,-29.1667
2010-08-27,-5.8824
2010-08-30,7.0
2010-10-21,-11.215
2010-10-25,0.0
2011-01-04,26.3158
2011-01-05,0.0
2011-01-13,-11.4583
2011-01-26,12.9412
2011-01-27,-16.6667
2011-02-08,6.25
2011-03-01,5.8824
2011-03-25,11.1111
2011-04-29,0.0
2011-07-27,-5.0
2011-10-04,-30.5263
2012-04-17,21.2121
2012-06-06,-25.0
2012-06-07,0.0
2012-06-12,0.0
2012-08-02,10.0
2012-08-03,0.0
2012-08-15,-9.0909
2012-08-21,-16.6667
2012-11-08,-20.0
2012-11-14,-3.5
2012-11-28,3.6269
2013-01-03,-4.5
2013-01-07,4.712
2013-01-08,0.0
2013-01-18,-5.0
2013-02-07,-2.6316
2013-02-12,8.1081
2013-03-21,18.5
2013-05-01,-15.1899
2013-05-03,2.4876
2013-05-07,0.0
2013-05-29,15.0485
2013-05-31,-10.9705
2013-06-10,0.0
2013-07-01,6.6350999999999996
2013-07-19,4.0
2013-07-22,4.7009
2013-08-20,14.2857
2013-08-26,-3.5714
2013-09-12,-7.4074
2013-09-13,8.0
2013-12-09,-5.5556
2013-12-16,0.0
2013-12-27,1.9607999999999999
2014-01-06,2.3077
