ticker,REAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-28,44.5
2019-07-01,-8.1315
2019-07-02,-2.1469
2019-07-03,-1.8476
2019-07-05,3.9608
2019-07-08,-2.2256
2019-07-09,-2.1605
2019-07-10,4.1009
2019-07-11,-3.1439
2019-07-12,0.8604
2019-07-15,-3.4122
2019-07-16,-1.5655999999999999
2019-07-17,-2.6917
2019-07-18,5.0293
2019-07-19,-3.6712
2019-07-22,2.6926
2019-07-23,-0.7261
2019-07-24,-0.4063
2019-07-25,0.408
2019-07-26,5.0386
2019-07-29,-2.824
2019-07-30,-2.0303
2019-07-31,-0.2438
2019-08-01,1.833
2019-08-02,-3.8
2019-08-05,-0.8732
2019-08-06,-0.8809
2019-08-07,-2.6661
2019-08-08,0.5652
2019-08-09,-23.3031
2019-08-12,0.7892
2019-08-13,-4.9216999999999995
2019-08-14,-16.0
2019-08-15,8.4034
2019-08-16,11.3695
2019-08-19,0.058
2019-08-20,-0.5217
2019-08-21,0.4079
2019-08-22,-3.1341
2019-08-23,-8.0288
2019-08-26,-7.2964
2019-08-27,-10.0492
2019-08-28,6.3281
2019-08-29,2.7186
2019-08-30,-6.5093
2019-09-03,5.6618
2019-09-04,3.2585
2019-09-05,5.1893
2019-09-06,2.4667
2019-09-09,-0.2602
2019-09-10,5.5447
2019-09-11,1.0507
2019-09-12,3.4862
2019-09-13,0.5319
2019-09-16,-1.5285
2019-09-17,3.7015000000000002
2019-09-18,-6.2176
2019-09-19,3.1921
2019-09-20,0.7139
2019-09-23,4.2528
2019-09-24,-3.2295
2019-09-25,7.3185
2019-09-26,1.964
2019-09-27,3.5313
2019-09-30,15.5556
2019-10-01,-6.8873
2019-10-02,-9.4621
2019-10-03,0.3183
2019-10-04,6.5045
2019-10-07,3.6743
2019-10-08,1.0536
2019-10-09,0.6161
2019-10-10,6.1234
2019-10-11,-1.7753999999999999
2019-10-14,-3.1631
2019-10-15,-1.4932
2019-10-16,3.0317
2019-10-17,4.1839
2019-10-18,-2.692
2019-10-21,-1.8594
2019-10-22,-3.281
2019-10-23,-9.0779
2019-10-24,3.7835
2019-10-25,12.0506
2019-10-28,5.061
2019-10-29,1.0753
2019-10-30,1.0638
2019-10-31,-2.6947
2019-11-01,-0.7789
2019-11-04,-5.2333
2019-11-05,-10.8606
2019-11-06,-7.4342
2019-11-07,-2.0078
2019-11-08,0.5122
2019-11-11,3.0578
2019-11-12,0.7143
2019-11-13,0.7638
2019-11-14,-3.0319
