ticker,MYRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-15,-13.5714
2009-06-16,-32.2314
2009-06-17,0.4878
2009-06-18,15.2913
2009-06-19,5.8947
2009-06-22,0.1988
2009-06-23,-1.3889
2009-06-24,-3.6217
2009-06-25,-3.3403
2009-06-26,-1.2959
2009-06-29,3.5011
2009-06-30,-1.6913
2009-07-01,-13.3333
2009-07-02,3.2258
2009-07-06,9.375
2009-07-07,-0.6593
2009-07-08,-1.5487
2009-07-09,-3.8202
2009-07-10,-1.6355
2009-07-13,-0.9501
2009-07-14,0.4796
2009-07-15,3.58
2009-07-16,4.8387
2009-07-17,-1.5385
2009-07-20,0.0
2009-07-21,0.0
2009-07-22,0.4464
2009-07-23,5.5556
2009-07-24,1.2631999999999999
2009-07-27,-0.2079
2009-07-28,0.625
2009-07-29,2.6915
2009-07-30,-1.4113
2009-07-31,-0.409
2009-08-03,-0.8214
2009-08-04,0.8282
2009-08-05,-1.232
2009-08-06,-3.3264
2009-08-07,0.8602
2009-08-10,4.4776
2009-08-11,-0.8163
2009-08-12,-2.8807
2009-08-13,3.6017
2009-08-14,-1.0225
2009-08-17,0.4132
2009-08-18,0.6173
2009-08-19,-0.2045
2009-08-20,0.2049
2009-08-21,0.409
2009-08-24,-6.3136
2009-08-25,0.8696
2009-08-26,1.5086
2009-08-27,-2.3355
2009-08-28,-0.4348
2009-08-31,-1.7467000000000001
2009-09-01,-2.0
2009-09-02,-1.1338
2009-09-03,1.1468
2009-09-04,0.2268
2009-09-08,1.1312
2009-09-09,3.5794
2009-09-10,0.0
2009-09-11,4.5356
2009-09-14,14.4628
2009-09-15,1.083
2009-09-16,10.357099999999999
2009-09-17,0.0
2009-09-18,6.4725
2009-09-21,-2.4316
2009-09-22,5.4517
2009-09-23,-4.1359
2009-09-24,-9.7072
2009-09-25,-0.5119
2009-09-28,1.7153
2009-09-29,0.6745
2009-09-30,-1.8425
2009-10-01,-4.7782
2009-10-02,0.3584
2009-10-05,1.7856999999999998
2009-10-06,-0.1754
2009-10-07,-0.8787
2009-10-08,1.5957
2009-10-09,0.5236
2009-10-12,0.3472
2009-10-13,2.4221
2009-10-14,8.1081
2009-10-15,-1.5625
2009-10-16,-0.4762
2009-10-19,0.319
2009-10-20,0.318
2009-10-21,-1.5848
2009-10-22,2.4154999999999998
2009-10-23,-1.1006
2009-10-26,1.1129
2009-10-27,-2.2013
2009-10-28,-8.3601
2009-10-29,-0.7018
2009-10-30,-2.4735
2009-11-02,1.2681
