ticker,PLXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-13,17.0
2014-03-14,-4.5584
2014-03-17,0.0
2014-03-18,-3.1343
2014-03-19,-3.0046
2014-03-20,-8.2605
2014-03-21,-6.0606
2014-03-24,-8.2949
2014-03-25,1.005
2014-03-26,-0.199
2014-03-27,-0.0997
2014-03-28,-0.1996
2014-03-31,0.8
2014-04-01,3.2738
2014-04-02,2.9779
2014-04-03,-8.1157
2014-04-04,-7.0051
2014-04-07,-2.8384
2014-04-08,0.4494
2014-04-09,16.3311
2014-04-10,0.0
2014-04-11,-3.75
2014-04-14,-0.7992
2014-04-15,-4.1289
2014-04-16,-3.8866
2014-04-17,1.4208
2014-04-21,4.5259
2014-04-22,7.1134
2014-04-23,0.1925
2014-04-24,-4.4188
2014-04-25,-3.0151
2014-04-28,2.0725
2014-04-29,-4.1624
2014-04-30,3.2839
2014-05-01,0.5128
2014-05-02,1.2857
2014-05-05,3.2641999999999998
2014-05-06,-2.5366
2014-05-07,0.5005
2014-05-08,-0.5976
2014-05-09,-0.6012
2014-05-12,-2.0161
2014-05-13,3.9095
2014-05-14,-5.4455
2014-05-15,-7.2251
2014-05-16,3.2731
2014-05-19,-1.5301
2014-05-20,-0.111
2014-05-21,-1.1111
2014-05-22,-3.2584
2014-05-23,2.7875
2014-05-27,0.565
2014-05-28,0.5618
2014-05-29,5.0279
2014-05-30,-2.3404
2014-06-02,0.1089
2014-06-03,4.679
2014-06-04,-4.158
2014-06-05,0.1085
2014-06-06,-2.3835
2014-06-09,3.9956
2014-06-10,0.3202
2014-06-11,6.1702
2014-06-12,7.4148
2014-06-13,4.0112
2014-06-16,-4.1256
2014-06-17,5.6127
2014-06-18,-2.1258
2014-06-19,1.1764999999999999
2014-06-20,-14.4007
2014-06-23,-1.6719
2014-06-24,0.8502
2014-06-25,3.4773
2014-06-26,-1.6293
2014-06-27,-2.2774
2014-06-30,2.7542
2014-07-01,-6.5979
2014-07-02,-0.8278
2014-07-03,2.059
2014-07-07,-2.181
2014-07-08,0.4459
2014-07-09,1.5537999999999998
2014-07-10,-1.3115
2014-07-11,6.0908
2014-07-14,-2.9228
2014-07-15,-1.2903
2014-07-16,2.3965
2014-07-17,-1.2766
2014-07-18,1.6164
2014-07-21,6.6808
2014-07-22,-1.2922
2014-07-23,1.712
2014-07-24,-1.3860999999999999
2014-07-25,-1.9076
2014-07-28,0.8188
2014-07-29,-0.6091
2014-07-30,-0.3064
2014-07-31,0.2049
