ticker,CMPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-30,27.0833
2005-10-03,-3.2787
2005-10-04,-5.0847
2005-10-05,1.5
2005-10-06,0.6334
2005-10-07,-1.3287
2005-10-10,-0.0709
2005-10-11,0.3546
2005-10-12,-0.2827
2005-10-13,4.8193
2005-10-14,-1.3523
2005-10-17,1.0966
2005-10-18,1.0169
2005-10-19,4.0268
2005-10-20,-0.3226
2005-10-21,-0.9061
2005-10-24,0.8491
2005-10-25,1.0363
2005-10-26,7.6923
2005-10-27,3.8689999999999998
2005-10-28,0.0
2005-10-31,-2.9798999999999998
2005-11-01,2.1264
2005-11-02,4.1064
2005-11-03,-1.6111
2005-11-04,0.6776
2005-11-07,1.8508
2005-11-08,0.2203
2005-11-09,1.0989
2005-11-10,0.0
2005-11-11,0.0
2005-11-14,2.337
2005-11-15,1.3808
2005-11-16,0.8381
2005-11-17,-1.5065
2005-11-18,-1.2131
2005-11-21,-0.1602
2005-11-22,-1.5508
2005-11-23,0.5432
2005-11-25,-1.5127000000000002
2005-11-28,-1.1519
2005-11-29,2.2198
2005-11-30,-1.4115
2005-12-01,-1.2115
2005-12-02,5.9086
2005-12-05,0.0
2005-12-06,4.2105
2005-12-07,1.0101
2005-12-08,1.5
2005-12-09,0.8867
2005-12-12,2.2949
2005-12-13,-0.0477
2005-12-14,1.0984
2005-12-15,3.6845
2005-12-16,1.4123
2005-12-19,0.4043
2005-12-20,-0.2237
2005-12-21,0.3139
2005-12-22,-0.1788
2005-12-23,0.0896
2005-12-27,-1.9687000000000001
2005-12-28,-0.2282
2005-12-29,1.6468
2005-12-30,2.4032
2006-01-03,1.4767000000000001
2006-01-04,0.3465
2006-01-05,-0.259
2006-01-06,2.8992
2006-01-09,-1.762
2006-01-10,2.0504
2006-01-11,7.4664
2006-01-12,-3.5519
2006-01-13,2.3877
2006-01-17,5.8498
2006-01-18,0.4481
2006-01-19,3.3829000000000002
2006-01-20,1.4024
2006-01-23,-0.5319
2006-01-24,-3.0303
2006-01-25,10.3676
2006-01-26,-0.0333
2006-01-27,0.9663
2006-01-30,-0.8581
2006-01-31,0.6325
2006-02-01,-1.0916
2006-02-02,1.6388
2006-02-03,1.9414
2006-02-06,2.3564
2006-02-07,0.41
2006-02-08,2.1043
2006-02-09,2.7991
2006-02-10,-2.2142
2006-02-13,0.7344
2006-02-14,-0.3038
2006-02-15,-3.8696
2006-02-16,1.3629
2006-02-17,1.1726
2006-02-21,2.7971
2006-02-22,0.5713
