ticker,CYTK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-04-29,23.8462
2004-04-30,0.9938
2004-05-03,5.2276
2004-05-04,-1.5196
2004-05-05,4.273
2004-05-06,-2.1628
2004-05-07,-1.6289
2004-05-10,-3.903
2004-05-11,-4.0
2004-05-12,-1.6026
2004-05-13,0.9772
2004-05-14,2.5806
2004-05-17,-0.9434
2004-05-18,0.3175
2004-05-19,0.9494
2004-05-20,-2.1944
2004-05-21,0.641
2004-05-24,-2.8662
2004-05-25,-1.7705
2004-05-26,3.4713
2004-05-27,-2.5806
2004-05-28,8.6093
2004-06-01,-4.0915
2004-06-02,-3.7447
2004-06-03,-0.7926
2004-06-04,2.1971
2004-06-07,2.6710000000000003
2004-06-08,2.4112
2004-06-09,-0.8674
2004-06-10,-0.5
2004-06-14,-1.696
2004-06-15,-1.9808
2004-06-16,4.3025
2004-06-17,-1.1875
2004-06-18,1.3283
2004-06-21,-1.9975
2004-06-22,-1.7197
2004-06-23,-0.1296
2004-06-24,-2.3361
2004-06-25,-1.8605
2004-06-28,-0.1354
2004-06-29,-0.339
2004-06-30,1.0204
2004-07-01,-0.0673
2004-07-02,1.1456
2004-07-06,-3.1312
2004-07-07,-2.4072
2004-07-08,-2.3256
2004-07-09,-2.5974
2004-07-12,-4.4444
2004-07-13,0.155
2004-07-14,0.6192
2004-07-15,0.0
2004-07-16,-0.4615
2004-07-19,-6.1824
2004-07-20,-2.8007
2004-07-21,-18.9831
2004-07-22,-1.7782
2004-07-23,-3.4079
2004-07-26,-1.4333
2004-07-27,2.5727
2004-07-28,-7.5245
2004-07-29,-0.4717
2004-07-30,-1.8957000000000002
2004-08-02,-0.9662
2004-08-03,-4.7561
2004-08-04,-3.7132
2004-08-05,1.0638
2004-08-06,-0.7895
2004-08-09,5.305
2004-08-10,-0.2519
2004-08-11,6.0606
2004-08-12,-7.9762
2004-08-13,0.6468
2004-08-16,-0.5141
2004-08-17,0.3876
2004-08-18,1.9304999999999999
2004-08-19,-4.4192
2004-08-20,3.8308999999999997
2004-08-23,2.0356
2004-08-24,6.4838000000000005
2004-08-25,5.3864
2004-08-26,0.0
2004-08-27,7.8889
2004-08-30,-2.3687
2004-08-31,2.2152
2004-09-01,4.4376
2004-09-02,4.7431
2004-09-03,-1.9811
2004-09-07,-0.9625
2004-09-08,-3.5957
2004-09-09,-3.4274
2004-09-10,1.0438
2004-09-13,1.8595000000000002
2004-09-14,-0.6085
2004-09-15,1.4796
2004-09-16,-1.8601999999999999
