ticker,TRVG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-16,7.7273
2016-12-19,2.5316
2016-12-20,-2.7984
2016-12-21,-0.0847
2016-12-22,-0.7627
2016-12-23,1.0248
2016-12-27,-1.0989
2016-12-28,-0.9402
2016-12-29,0.604
2016-12-30,0.7719
2017-01-03,3.3191
2017-01-04,0.1647
2017-01-05,-0.5757
2017-01-06,-1.4888
2017-01-09,-0.1679
2017-01-10,-0.4205
2017-01-11,-0.3378
2017-01-12,-2.3729
2017-01-13,2.1701
2017-01-17,-0.5098
2017-01-18,-0.5124
2017-01-19,0.1717
2017-01-20,-1.4567
2017-01-23,-0.7826
2017-01-24,-1.5776
2017-01-25,2.6714
2017-01-26,-1.6479
2017-01-27,-1.94
2017-01-30,2.0683
2017-01-31,2.2026
2017-02-01,-1.0345
2017-02-02,-0.4355
2017-02-03,0.175
2017-02-06,0.8734
2017-02-07,-0.6061
2017-02-08,-0.3484
2017-02-09,0.6119
2017-02-10,7.5586
2017-02-13,5.2504
2017-02-14,3.7606
2017-02-15,-1.6272
2017-02-16,2.0301
2017-02-17,2.1371
2017-02-21,-4.1126
2017-02-22,-1.9564
2017-02-23,-0.3837
2017-02-24,-1.0015
2017-02-27,-6.1479
2017-02-28,-2.9022
2017-03-01,-1.4518
2017-03-02,1.6463999999999999
2017-03-03,5.2003
2017-03-06,-2.107
2017-03-07,-1.1589
2017-03-08,1.7588
2017-03-09,-1.5638
2017-03-10,4.3478
2017-03-13,-2.0032
2017-03-14,-1.6353
2017-03-15,-0.2494
2017-03-16,-0.5
2017-03-17,1.5913
2017-03-20,0.2473
2017-03-21,1.2336
2017-03-22,1.5434999999999999
2017-03-23,-2.0
2017-03-24,-0.5714
2017-03-27,0.4926
2017-03-28,0.3268
2017-03-29,3.9901999999999997
2017-03-30,0.8614
2017-03-31,1.1646
2017-04-03,-0.5372
2017-04-04,0.463
2017-04-05,-1.6129
2017-04-06,1.6393
2017-04-07,0.8449
2017-04-10,-0.8378
2017-04-11,-0.6912
2017-04-12,0.8507
2017-04-13,-2.1471999999999998
2017-04-17,3.6834
2017-04-18,5.4422
2017-04-19,0.2867
2017-04-20,3.5025
2017-04-21,-1.0359
2017-04-24,4.8151
2017-04-25,-0.1997
2017-04-26,0.6004
2017-04-27,0.9284
2017-04-28,12.4836
2017-05-01,5.3738
2017-05-02,1.9956
2017-05-03,-5.4891
2017-05-04,-1.1501000000000001
2017-05-05,-1.0471
2017-05-08,0.4703
2017-05-09,7.8994
