ticker,BQST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-28,-20.0
2014-03-14,0.0
2014-08-18,900.0
2014-08-20,12.5
2014-09-11,-93.3333
2014-09-12,30.0
2015-01-22,28.2051
2015-03-17,304.0
2015-05-05,-65.3465
2015-05-08,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-06-01,-14.2857
2015-06-10,-16.6667
2015-06-29,40.0
2015-08-14,-85.7143
2015-08-17,500.0
2015-08-18,16.6667
2016-01-04,-48.5714
2016-09-22,-69.4444
2016-12-19,-81.8182
2018-03-22,9900.0
2018-04-17,0.0
2018-04-23,0.0
2018-05-25,-99.0
2019-04-04,50.0
2019-05-28,6233.3333
2019-06-14,52.6316
2019-06-17,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-07-18,0.0
2019-09-11,3.4483
2019-09-17,0.0
2019-10-04,0.0
2019-10-07,0.0
2019-10-08,-3.3333
2019-10-10,-30.3448
2019-10-11,3.9604
2019-10-18,0.0
2019-10-21,0.0
2019-10-25,0.0
2019-11-14,376.1905
2019-12-27,-99.4
2020-01-17,-46.6667
2020-01-29,-15.625
2020-07-13,-18.5185
