ticker,CTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-12,0.0
2013-12-13,0.0741
2013-12-16,-0.074
2013-12-17,0.3704
2013-12-18,-0.5166
2013-12-19,0.5193
2013-12-20,0.2214
2013-12-23,0.7364
2013-12-24,0.0731
2013-12-26,0.2191
2013-12-27,0.1458
2013-12-30,0.7278
2013-12-31,0.7948
2014-01-02,-0.8602
2014-01-03,0.7954
2014-01-06,2.5825
2014-01-07,-0.6993
2014-01-08,-0.8451
2014-01-09,0.0
2014-01-10,-1.9886
2014-01-13,0.1449
2014-01-14,1.1577
2014-01-15,-0.7153
2014-01-16,-2.2334
2014-01-17,2.3581
2014-01-21,0.36
2014-01-22,0.4304
2014-01-23,-0.0714
2014-01-24,-0.6433
2014-01-27,-0.0719
2014-01-28,-0.7919
2014-01-29,-1.3062
2014-01-30,-0.7353
2014-01-31,2.5185
2014-02-03,-3.4682
2014-02-04,0.7485
2014-02-05,-0.1486
2014-02-06,0.2976
2014-02-07,1.4837
2014-02-10,-2.3392
2014-02-11,-0.9731
2014-02-12,-2.5699
2014-02-13,1.2413
2014-02-14,0.3831
2014-02-18,0.3817
2014-02-19,0.4563
2014-02-20,-2.6494999999999997
2014-02-21,1.0886
2014-02-24,1.0769
2014-02-25,0.2283
2014-02-26,0.5315
2014-02-27,-0.457
2014-02-28,1.3772
2014-03-03,1.434
2014-03-04,-1.0417
2014-03-05,1.2782
2014-03-06,-0.3712
2014-03-07,0.4471
2014-03-10,0.3709
2014-03-11,-0.5174
2014-03-12,-0.0743
2014-03-13,-2.1561
2014-03-14,1.2918
2014-03-17,1.2753
2014-03-18,2.1481
2014-03-19,-0.145
2014-03-20,-0.1452
2014-03-21,0.0727
2014-03-24,0.7267
2014-03-25,-0.3608
2014-03-26,-2.3172
2014-03-27,-0.2965
2014-03-28,-0.9665
2014-03-31,5.4805
2014-04-01,-2.3487999999999998
2014-04-02,2.0408
2014-04-03,0.3571
2014-04-04,0.0712
2014-04-07,-2.276
2014-04-08,-3.0568
2014-04-09,1.5766
2014-04-10,-2.5129
2014-04-11,1.0614
2014-04-14,0.4501
2014-04-15,0.0747
2014-04-16,0.597
2014-04-17,0.1484
2014-04-21,-1.2593
2014-04-22,1.8005
2014-04-23,-1.3265
2014-04-24,0.224
2014-04-25,-0.4471
2014-04-28,-0.0749
2014-04-29,0.0749
2014-04-30,0.8982
2014-05-01,-0.2226
2014-05-02,-0.1487
2014-05-05,-0.0745
2014-05-06,-0.9687
