ticker,VSEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,3.2258
2000-01-18,-6.25
2000-01-24,0.0
2000-01-25,0.0
2000-01-28,0.48
2000-01-31,-1.6667
2000-02-01,-1.6949
2000-02-03,3.4483
2000-02-04,-6.6667
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,7.1429
2000-02-11,0.0
2000-02-16,-3.3333
2000-02-17,3.4483
2000-02-22,0.0
2000-02-24,-0.8333
2000-02-25,0.0
2000-02-28,-8.4034
2000-02-29,0.0
2000-03-01,-0.9174
2000-03-03,1.8519
2000-03-06,0.0
2000-03-07,1.8182
2000-03-08,-3.5714
2000-03-14,3.7037
2000-03-15,3.5714
2000-03-16,-2.5862
2000-03-17,-2.6549
2000-03-20,5.4545
2000-03-22,1.7241
2000-03-23,-1.6949
2000-03-24,3.4483
2000-03-27,3.3333
2000-03-28,-3.2258
2000-03-29,-3.3333
2000-04-04,-15.5172
2000-04-05,30.102
2000-04-06,-7.451
2000-04-07,-6.7797
2000-04-10,1.8182
2000-04-11,-3.5714
2000-04-12,-7.4074
2000-04-13,-4.0
2000-04-14,4.1667
2000-04-17,4.0
2000-04-18,-3.8462
2000-04-19,-6.0
2000-04-20,23.4043
2000-04-24,-5.3879
2000-04-26,-12.5285
2000-04-28,4.1667
2000-05-01,-6.0
2000-05-02,15.5745
2000-05-03,20.3704
2000-05-04,-4.6154
2000-05-09,-6.4516
2000-05-11,0.0
2000-05-16,-17.2414
2000-05-17,8.3333
2000-05-18,3.6058
2000-05-19,-7.1926
2000-05-22,0.0
2000-05-23,16.0
2000-05-24,-13.7931
2000-05-25,2.5
2000-05-26,-0.4878
2000-05-31,0.0
2000-06-05,0.9804
2000-06-06,-4.8544
2000-06-12,0.0
2000-06-13,0.0
2000-06-16,14.2857
2000-06-19,-11.607099999999999
2000-06-20,0.0
2000-06-22,1.0101
2000-06-26,0.0
2000-06-27,0.0
2000-06-30,7.0
2000-07-03,-4.6729
2000-07-05,1.9607999999999999
2000-07-07,-6.7308
2000-07-10,10.3093
2000-07-11,-9.3458
2000-07-13,3.0928
2000-07-14,0.0
2000-07-17,-2.0
2000-07-19,8.1633
2000-07-20,1.8868
2000-07-21,5.5556
2000-07-24,-1.7544
2000-07-25,-0.8929
2000-07-26,0.0
2000-07-27,3.6036
2000-07-28,-7.8261
2000-07-31,0.9434
2000-08-01,-8.411200000000001
2000-08-08,15.037
2000-08-09,1.7856999999999998
2000-08-11,-1.7544
