ticker,BRER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.0
2000-01-10,-1.4151
2000-01-11,0.4785
2000-01-13,-0.2381
2000-01-19,-0.716
2000-02-02,0.0
2000-02-07,0.9615
2000-02-08,6.6667
2000-02-09,-5.3571
2000-02-14,5.6604
2000-02-15,-3.5714
2000-02-16,3.7037
2000-02-17,0.0
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,-3.5714
2000-02-29,3.7037
2000-03-02,1.7856999999999998
2000-03-03,1.7544
2000-03-06,-3.4483
2000-03-13,-3.5714
2000-03-21,5.5556
2000-03-23,-9.6491
2000-03-28,10.6796
2000-03-29,0.0
2000-03-30,1.7544
2000-04-04,-6.8966
2000-04-12,1.8519
2000-04-13,-1.25
2000-04-14,-0.5754
2000-06-01,11.1111
2000-07-10,-3.3333
2000-07-14,-1.7241
2000-08-31,-2.6316
2000-09-25,-0.9009
2000-09-27,0.0
2000-10-03,10.9091
2000-10-26,-9.8361
2000-11-02,0.0
2000-11-09,5.4545
2000-11-16,-3.4483
2000-12-08,0.0
2000-12-19,0.0
2000-12-26,1.7856999999999998
2001-01-30,-1.7544
2001-01-31,1.7856999999999998
2001-02-01,-1.7544
2001-02-02,0.0
2001-02-07,1.7856999999999998
2001-02-08,0.0
2001-02-13,0.0
2001-02-15,-1.7544
2001-02-16,0.0
2001-02-22,0.4464
2001-02-28,0.0
2001-03-27,-2.2222
2001-04-05,-3.6364
2001-04-20,1.8868
2001-05-14,0.0
2001-05-15,7.4074
2001-05-16,-4.3103
2001-05-31,-0.9009
2001-06-04,23.6364
2001-06-21,4.4118
2001-07-02,0.0
2001-07-12,7.7465
2001-08-22,12.6797
2001-08-27,-4.2923
2001-08-31,1.8182
2001-09-10,3.5714
2001-10-09,-8.046
2001-10-15,1.25
2001-10-17,11.1111
2001-10-18,-5.0
2001-10-19,2.3392
2001-10-22,-4.5714
2001-10-25,2.9939999999999998
2001-10-26,2.3256
2001-10-29,0.5682
2001-11-07,6.2147
2001-11-12,-4.7872
2001-11-15,6.1453
2001-11-27,-3.1579
2001-12-20,0.0
2001-12-21,-2.5
2001-12-27,0.0
2001-12-28,0.0
2002-01-02,0.8919
2002-01-08,-0.5525
2002-01-15,0.8889
2002-01-17,-0.6608
2002-01-24,0.5543
2002-02-05,0.3308
2002-02-07,0.5495
2002-03-11,0.5464
2002-03-14,-0.5435
2002-03-18,6.0109
2002-04-26,-3.0928
2002-04-29,-2.6596
