ticker,XWMFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-03,0.0
2014-09-04,0.006
2014-09-05,-0.0331
2014-09-08,-0.0321
2014-09-09,-0.0491
2014-09-10,-0.0742
2014-09-11,-0.0492
2014-09-12,-0.0241
2014-09-15,-0.0301
2014-09-16,-0.1357
2014-09-17,0.0262
2014-09-18,0.0231
2014-09-19,0.0513
2014-09-22,-0.0583
2014-09-23,-0.1207
2014-09-24,-0.0826
2014-09-25,-0.3336
2014-09-26,-0.2478
2014-09-29,-0.0406
2014-09-30,0.0335
2014-10-01,0.076
2014-10-02,-0.2533
2014-10-03,0.2245
2014-10-06,0.1064
2014-10-07,-0.082
2014-10-08,-0.1803
2014-10-09,-0.2588
2014-10-10,-0.462
2014-10-13,0.0194
2014-10-14,-0.3884
2014-10-15,-0.7973
2014-10-16,-0.1148
2014-10-17,0.8119
2014-10-20,-0.0411
2014-10-21,0.3011
2014-10-22,0.2418
2014-10-23,-0.1533
2014-10-24,0.0502
2014-10-27,-0.0839
2014-10-28,-0.1638
2014-10-29,-0.0318
2014-10-30,0.0236
2014-10-31,-0.0256
2014-11-03,-0.0103
2014-11-04,-0.4012
2014-11-05,0.1628
2014-11-06,-0.1214
2014-11-07,0.1277
2014-11-10,-0.1162
2014-11-11,0.1236
2014-11-12,0.1944
2014-11-13,-0.1006
2014-11-14,-0.1418
2014-11-17,-0.4507
2014-11-18,-0.2636
2014-11-19,-0.1814
2014-11-20,-0.0156
2014-11-21,0.0093
2014-11-24,-0.1526
2014-11-25,0.1487
2014-11-26,-0.0125
2014-11-28,-0.3167
2014-12-01,-0.5615
2014-12-02,-0.307
2014-12-03,0.0063
2014-12-04,-0.0231
2014-12-05,-0.2207
2014-12-08,-0.3539
2014-12-09,-1.1892
2014-12-10,-0.4129
2014-12-11,-0.3062
2014-12-12,-0.6207
2014-12-15,-0.4803
2014-12-16,-0.7877
2014-12-17,-0.0143
2014-12-18,1.0434
2014-12-19,0.3044
2014-12-22,0.2167
2014-12-23,0.2595
2014-12-24,-0.0615
2014-12-26,0.0639
2014-12-29,0.1089
2014-12-30,0.0901
2014-12-31,0.179
2015-01-02,-0.0548
2015-01-05,-0.238
2015-01-06,-0.464
2015-01-07,0.1049
2015-01-08,0.3531
2015-01-09,0.2353
2015-01-12,-0.1909
2015-01-13,-0.4638
2015-01-14,-0.5499
2015-01-15,0.0955
2015-01-16,-0.2651
2015-01-20,0.0756
2015-01-21,-0.359
2015-01-22,-0.135
