ticker,GLOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-30,-11.357099999999999
2012-04-02,0.6446
2012-04-03,-5.5244
2012-04-04,-5.4237
2012-04-05,0.9857
2012-04-09,1.5972
2012-04-10,-3.7555
2012-04-11,-1.9964
2012-04-12,4.4444
2012-04-13,0.0887
2012-04-16,-0.7086
2012-04-17,4.7279
2012-04-18,-2.0443
2012-04-19,-3.3043
2012-04-20,3.2374
2012-04-23,-1.0453
2012-04-24,-0.7923
2012-04-25,2.7507
2012-04-26,1.8998
2012-04-27,-0.5085
2012-04-30,-0.5111
2012-05-01,1.0274
2012-05-02,-0.2542
2012-05-03,-0.5098
2012-05-04,-0.427
2012-05-07,2.0583
2012-05-08,0.7563
2012-05-09,-1.9183
2012-05-10,0.5102
2012-05-11,-0.846
2012-05-14,-1.0239
2012-05-15,-3.0172
2012-05-16,-2.0444
2012-05-17,-4.3557
2012-05-18,-6.167
2012-05-21,-2.1234
2012-05-22,-2.1694
2012-05-23,-2.8510999999999997
2012-05-24,-0.7609
2012-05-25,0.5476
2012-05-29,2.7233
2012-05-30,0.3181
2012-05-31,-2.2199
2012-06-01,-2.5946
2012-06-04,-0.222
2012-06-05,-0.4449
2012-06-06,0.5587
2012-06-07,1.8889
2012-06-08,2.7263
2012-06-11,-1.9108
2012-06-12,4.2208
2012-06-13,2.8037
2012-06-14,4.5455
2012-06-15,-1.7391
2012-06-18,-0.59
2012-06-19,3.4619
2012-06-20,0.0
2012-06-21,-1.5295999999999998
2012-06-22,-1.068
2012-06-25,-3.2385
2012-06-26,-0.5071
2012-06-27,2.2426
2012-06-28,-2.5922
2012-06-29,3.8895
2012-07-02,0.7882
2012-07-03,-0.8798
2012-07-05,1.6764999999999999
2012-07-06,-0.291
2012-07-09,-2.2374
2012-07-10,-2.3881
2012-07-11,-0.4077
2012-07-12,0.0
2012-07-13,4.5036000000000005
2012-07-16,-0.4897
2012-07-17,0.7874
2012-07-18,-2.0508
2012-07-19,-0.2991
2012-07-20,-0.9
2012-07-23,-1.0091
2012-07-24,0.0
2012-07-25,0.7136
2012-07-26,-1.7206000000000001
2012-07-27,1.1329
2012-07-30,0.0
2012-07-31,0.9165
2012-08-01,-3.4309
2012-08-02,-0.3135
2012-08-03,0.8386
2012-08-06,1.2474
2012-08-07,0.1027
2012-08-08,0.1026
2012-08-09,0.2049
2012-08-10,-0.2045
2012-08-13,0.1025
2012-08-14,0.1024
2012-08-15,2.2495
2012-08-16,1.9
2012-08-17,0.2944
