ticker,MEDD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-05,0.0
2008-02-07,-1.1111
2008-02-11,-22.4719
2008-02-14,1.4493
2008-02-20,0.0
2008-02-22,14.2857
2008-03-05,-12.5
2008-03-14,-2.8571
2008-06-06,17.647100000000002
2008-07-10,-2.5
2008-09-26,2.5641
2008-10-06,0.0
2008-11-10,-2.5
2008-12-01,-10.2564
2008-12-17,-11.4286
2008-12-31,-48.3871
2009-01-14,87.5
2009-03-12,-66.6667
2009-03-13,70.0
2009-03-16,5.8824
2009-03-23,-16.6667
2009-03-31,6.6667
2009-04-13,18.75
2009-04-14,0.0
2009-04-16,-2.6316
2009-04-17,5.4054
2009-04-20,7.6923
2009-04-22,4.7619
2009-04-23,4.5455
2009-04-24,0.0
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,-8.6957
2009-04-30,-19.0476
2009-05-01,35.2941
2009-05-05,4.3478
2009-05-18,0.0
2009-05-21,0.0
2009-05-26,-70.8333
2009-06-02,114.2857
2009-06-12,0.0
2009-06-26,-33.3333
2009-07-06,100.0
2009-07-17,-10.0
2009-07-27,11.1111
2009-07-28,0.0
2009-08-06,10.0
2009-08-25,0.0
2009-08-31,0.0
2009-09-02,36.3636
2009-09-03,16.6667
2009-09-04,14.2857
2009-09-09,-12.5
2009-09-10,0.0
2009-09-11,5.7143
2009-09-16,-18.9189
2009-09-21,-3.3333
2009-09-23,0.0
2009-09-25,-27.5862
2009-09-30,14.2857
2009-10-09,12.5
2009-10-12,-11.1111
2009-10-21,4.1667
2009-10-22,40.0
2009-10-23,8.5714
2009-10-27,-34.2105
2009-10-28,0.0
2009-10-29,-4.0
2009-10-30,4.1667
2009-11-02,0.0
2009-11-10,0.0
2009-11-11,0.0
2009-11-16,-40.0
2009-11-24,0.0
2009-12-21,0.0
2009-12-24,33.3333
2009-12-28,0.0
2009-12-29,-40.0
2009-12-31,0.0
2010-01-11,91.6667
2010-01-12,-13.0435
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,20.0
2010-01-19,-16.6667
2010-01-20,0.0
2010-01-21,10.0
2010-01-22,0.0
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,-9.0909
2010-02-04,-5.0
2010-02-05,5.2632
2010-02-08,-5.0
2010-02-09,0.0
2010-02-10,-26.3158
2010-02-11,35.7143
2010-03-03,-26.3158
2010-04-21,0.0
