ticker,MOGU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-07,-3.7143
2018-12-10,-7.1217
2018-12-11,11.9808
2018-12-12,3.4237
2018-12-13,13.7931
2018-12-14,23.2121
2018-12-17,-17.0192
2018-12-18,7.2318
2018-12-19,2.5981
2018-12-20,2.2629
2018-12-21,-4.9526
2018-12-24,0.3326
2018-12-26,2.7072000000000003
2018-12-27,29.4782
2018-12-28,-11.1342
2018-12-31,-4.2076
2019-01-02,-2.3914
2019-01-03,13.5
2019-01-04,-6.696
2019-01-07,-11.898
2019-01-08,-3.0011
2019-01-09,-10.4972
2019-01-10,4.6296
2019-01-11,-5.8997
2019-01-14,-5.9561
2019-01-15,0.4667
2019-01-16,-2.9196999999999997
2019-01-17,-0.8202
2019-01-18,9.9242
2019-01-22,3.4483
2019-01-23,3.0303
2019-01-24,-1.1176
2019-01-25,-3.6883
2019-01-28,-3.9531
2019-01-29,-0.7717
2019-01-30,4.0181
2019-01-31,2.6791
2019-02-01,-1.6989999999999998
2019-02-04,1.8519
2019-02-05,15.1515
2019-02-06,-5.5789
2019-02-07,-1.5608
2019-02-08,0.7928
2019-02-11,-5.5618
2019-02-12,-3.4503
2019-02-13,-0.1848
2019-02-14,3.7037
2019-02-15,-3.1548
2019-02-19,1.4751
2019-02-20,-2.3622
2019-02-21,-4.3424
2019-02-22,2.4643
2019-02-25,0.1899
2019-02-26,-0.8844
2019-02-27,-1.5295999999999998
2019-02-28,-0.9709
2019-03-01,-1.6993
2019-03-04,1.7287
2019-03-05,2.4837
2019-03-06,0.9566
2019-03-07,-1.5161
2019-03-08,-0.7697
2019-03-11,-0.0646
2019-03-12,0.5175
2019-03-13,0.6435
2019-03-14,-0.7673
2019-03-15,0.2577
2019-03-18,-1.3496000000000001
2019-03-19,0.9772
2019-03-20,-1.5484
2019-03-21,-1.7038
2019-03-22,-0.7667
2019-03-25,-2.385
2019-03-26,-1.0323
2019-03-27,-4.7288
2019-03-28,-6.2044
2019-03-29,4.358
2019-04-01,1.8643
2019-04-02,1.6837
2019-04-03,1.3679000000000001
2019-04-04,-3.6932
2019-04-05,0.295
2019-04-08,-4.4853
2019-04-09,-1.6936
2019-04-10,-1.3312
2019-04-11,-6.9048
2019-04-12,-13.555
2019-04-15,-5.8185
2019-04-16,-8.9005
2019-04-17,2.1839
2019-04-18,-2.3622
2019-04-22,-2.8802
2019-04-23,-3.2028
2019-04-24,-4.0441
2019-04-25,1.5326
2019-04-26,4.4654
2019-04-29,2.348
