ticker,MGTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,-3.2
2018-06-22,-0.1377
2018-06-25,-1.7241
2018-06-26,0.0
2018-06-27,-1.4737
2018-06-28,-2.5641
2018-06-29,-1.3158
2018-07-02,0.6667
2018-07-03,-4.4886
2018-07-05,0.1926
2018-07-06,-0.1922
2018-07-09,-1.0015
2018-07-10,-2.4125
2018-07-11,-2.3125999999999998
2018-07-12,-1.3878
2018-07-13,10.596
2018-07-16,-2.6198
2018-07-17,6.3028
2018-07-18,1.3014999999999999
2018-07-19,1.0707
2018-07-20,5.9322
2018-07-23,-5.9333
2018-07-24,0.3544
2018-07-25,-1.3418
2018-07-26,-1.8611
2018-07-27,1.6047
2018-07-30,-0.5743
2018-07-31,-0.722
2018-08-01,-4.9455
2018-08-02,1.7598
2018-08-03,-0.8271
2018-08-06,-3.1084
2018-08-07,0.3912
2018-08-08,3.1177
2018-08-09,1.2094
2018-08-10,-2.9126
2018-08-13,-0.8462
2018-08-14,-1.7067
2018-08-15,1.7364000000000002
2018-08-16,-1.5516
2018-08-17,8.9046
2018-08-20,-4.3415
2018-08-21,4.879
2018-08-22,2.7768
2018-08-23,-0.3509
2018-08-24,-0.0704
2018-08-27,-0.3524
2018-08-28,2.3338
2018-08-29,-0.1382
2018-08-30,8.6505
2018-08-31,-7.0064
2018-09-04,-1.8493
2018-09-05,-7.1877
2018-09-06,-1.4285999999999999
2018-09-07,-3.8139
2018-09-10,0.3172
2018-09-11,-1.8182
2018-09-12,-2.2544
2018-09-13,-1.1532
2018-09-14,0.5833
2018-09-17,-2.0713
2018-09-18,0.423
2018-09-19,-2.2746
2018-09-20,0.1724
2018-09-21,-2.5818
2018-09-24,5.9187
2018-09-25,-2.6689
2018-09-26,2.8278
2018-09-27,1.75
2018-09-28,-1.638
2018-10-01,-2.9975
2018-10-02,-3.6052
2018-10-03,-1.2467
2018-10-04,0.0
2018-10-05,-0.3607
2018-10-08,-6.1538
2018-10-09,0.7715
2018-10-10,-8.7081
2018-10-11,-5.0314
2018-10-12,10.1545
2018-10-15,-4.1082
2018-10-16,3.2393
2018-10-17,0.9109
2018-10-18,-1.003
2018-10-19,2.0263
2018-10-22,-1.4896
2018-10-23,-6.25
2018-10-24,-0.7527
2018-10-25,-0.325
2018-10-26,-0.3261
2018-10-29,-0.2181
2018-10-30,-0.5464
2018-10-31,-3.6264
2018-11-01,-5.8153
2018-11-02,2.9055999999999997
2018-11-05,6.5882
2018-11-06,1.1038000000000001
