ticker,EVFM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-20,-14.2857
2014-11-21,-6.25
2014-11-24,-2.2222
2014-11-25,1.1818
2014-11-26,-4.8518
2014-11-28,1.8414000000000001
2014-12-01,-5.7024
2014-12-02,-5.6047
2014-12-03,-8.8542
2014-12-04,-0.5714
2014-12-05,-3.6782
2014-12-08,-8.1146
2014-12-09,-1.9481000000000002
2014-12-10,12.5828
2014-12-11,-6.2353
2014-12-12,-6.0226
2014-12-15,-1.0681
2014-12-16,0.5398
2014-12-17,-4.698
2014-12-18,-1.5493000000000001
2014-12-19,-6.0086
2014-12-22,-1.5221
2014-12-23,-1.0819
2014-12-24,3.9063
2014-12-26,7.5188
2014-12-29,-3.9161
2014-12-30,-0.0146
2014-12-31,8.895
2015-01-02,-1.6042999999999998
2015-01-05,-0.2717
2015-01-06,-1.3624
2015-01-07,-1.6575
2015-01-08,0.0
2015-01-09,4.2135
2015-01-12,0.0
2015-01-13,-5.7951
2015-01-14,0.0
2015-01-15,-1.6881
2015-01-16,-1.4843
2015-01-20,1.1817
2015-01-21,-1.6058
2015-01-22,0.1484
2015-01-23,-0.8889
2015-01-26,3.438
2015-01-27,-0.7243
2015-01-28,-5.9663
2015-01-29,2.1672
2015-01-30,1.0606
2015-02-02,-1.4993
2015-02-03,0.761
2015-02-04,4.2296
2015-02-05,-1.1594
2015-02-06,-1.6129
2015-02-09,0.5961
2015-02-10,0.5926
2015-02-11,-1.1782
2015-02-12,0.2981
2015-02-13,-0.5944
2015-02-17,-0.299
2015-02-18,0.7496
2015-02-19,0.1488
2015-02-20,1.1144
2015-02-23,-0.0735
2015-02-24,0.0
2015-02-25,-0.1471
2015-02-26,-0.4418
2015-02-27,-0.7396
2015-03-02,-0.7452
2015-03-03,0.9009
2015-03-04,1.1905000000000001
2015-03-05,11.1765
2015-03-06,2.9101
2015-03-09,5.527
2015-03-10,-5.3593
2015-03-11,-3.2175
2015-03-12,-4.2553
2015-03-13,2.0833
2015-03-16,2.7211
2015-03-17,4.7682
2015-03-18,0.7585
2015-03-19,-0.8783
2015-03-20,-4.9367
2015-03-23,-1.8641999999999999
2015-03-24,0.5427
2015-03-25,-3.1039
2015-03-26,3.6212
2015-03-27,2.8226
2015-03-30,6.6667
2015-03-31,0.6127
2015-04-01,-0.7308
2015-04-02,-0.2454
2015-04-06,1.353
2015-04-07,-1.8204
2015-04-08,-1.9778
2015-04-09,-0.7566
2015-04-10,3.4307
2015-04-13,4.4226
