ticker,BE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-25,66.6667
2018-07-26,-15.96
2018-07-27,7.5678
2018-07-30,5.531
2018-07-31,-3.3543
2018-08-01,1.9523000000000001
2018-08-02,4.2553
2018-08-03,9.3878
2018-08-06,4.2537
2018-08-07,-1.7538
2018-08-08,2.5501
2018-08-09,-5.0799
2018-08-10,3.4805
2018-08-13,-10.4521
2018-08-14,3.0291
2018-08-15,-10.1921
2018-08-16,0.9603
2018-08-17,-4.0208
2018-08-20,0.991
2018-08-21,12.7119
2018-08-22,6.8461
2018-08-23,8.4444
2018-08-24,5.5669
2018-08-27,-7.1821
2018-08-28,2.9976000000000003
2018-08-29,-1.3536000000000001
2018-08-30,-1.3721999999999999
2018-08-31,4.1739
2018-09-04,-4.8414
2018-09-05,-1.0175
2018-09-06,1.737
2018-09-07,6.5504999999999995
2018-09-10,-5.0033
2018-09-11,0.7229
2018-09-12,9.0567
2018-09-13,-0.7208
2018-09-14,-6.6288
2018-09-17,-1.9607999999999999
2018-09-18,3.1724
2018-09-19,-2.2393
2018-09-20,2.5983
2018-09-21,3.1323
2018-09-24,4.2003
2018-09-25,5.6744
2018-09-26,5.0469
2018-09-27,-6.1453
2018-09-28,1.4285999999999999
2018-10-01,-5.311
2018-10-02,-6.3526
2018-10-03,0.0993
2018-10-04,-6.314
2018-10-05,-3.4227
2018-10-08,-1.0961
2018-10-09,-3.5833
2018-10-10,5.5172
2018-10-11,-0.581
2018-10-12,-2.5566
2018-10-15,-0.2999
2018-10-16,2.1805
2018-10-17,0.5151
2018-10-18,-6.4056
2018-10-19,-0.2346
2018-10-22,-5.3312
2018-10-23,-1.3665
2018-10-24,0.4198
2018-10-25,-2.0067
2018-10-26,-5.4181
2018-10-29,-0.6315
2018-10-30,4.3123000000000005
2018-10-31,3.3507
2018-11-01,-0.0421
2018-11-02,-3.2856
2018-11-05,0.2178
2018-11-06,-25.0326
2018-11-07,4.4058
2018-11-08,0.4442
2018-11-09,7.518
2018-11-12,1.2852999999999999
2018-11-13,-6.0406
2018-11-14,-6.591
2018-11-15,-10.5842
2018-11-16,3.7516
2018-11-19,-9.600999999999999
2018-11-20,0.3448
2018-11-21,0.8247
2018-11-23,2.1813
2018-11-26,-1.9346
2018-11-27,-1.3605
2018-11-28,6.5517
2018-11-29,11.7152
2018-11-30,-4.6929
2018-12-03,0.304
2018-12-04,-6.7273
2018-12-06,1.4945
2018-12-07,1.6005
2018-12-10,8.1916
2018-12-11,-8.8526
