ticker,FMBN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-03-28,1.7856999999999998
2006-04-11,2.0495
2006-06-12,3.1856
2006-06-16,0.0
2006-06-21,-1.6779
2006-06-28,1.7065000000000001
2006-07-11,-2.2973
2006-07-31,1.6598000000000002
2007-04-17,1.3889
2007-05-03,-2.0548
2007-05-10,0.0699
2007-06-14,-0.4892
2007-06-25,0.0
2007-07-06,0.4243
2007-07-24,-2.8169
2007-07-26,0.7246
2007-08-08,-6.4748
2007-08-09,4.6154
2007-09-17,-5.5147
2007-09-28,0.7843
2007-10-08,-0.3891
2007-10-18,-2.7344
2007-11-13,-2.008
2007-11-15,3.2787
2007-11-16,14.2857
2007-11-20,8.3333
2007-11-26,-4.9359
2007-11-27,6.5408
2007-12-04,-5.0633
2007-12-06,6.6667
2008-03-28,-5.0314
2008-05-30,-5.2667
2008-06-02,5.5595
2008-08-01,-4.698
2008-08-28,5.6338
2008-09-10,-6.6667
2008-09-18,-1.4285999999999999
2008-10-06,-7.971
2008-10-09,-0.4724
2008-11-07,-4.3062000000000005
2008-11-20,-1.2
2009-01-08,-2.1592000000000002
2009-01-14,-6.8103
2009-01-26,-1.9426
2009-06-08,0.9434
2009-09-15,-10.2804
2009-10-20,-7.2917
2010-10-25,-42.6966
2010-10-28,-7.8431
2010-11-09,-5.3191
2010-11-17,-4.4944
2010-12-31,-12.9412
2011-07-01,-18.9189
2011-07-11,5.0
2011-09-08,-20.634900000000002
2011-09-09,20.0
2012-05-31,0.0
2012-12-31,17.3333
2013-08-27,30.6818
2013-09-20,-4.3478
2013-10-02,-0.6818
2013-10-08,-8.4668
2013-10-09,-5.0
2013-10-10,-3.9474
2013-10-11,-1.3699
2013-10-14,8.3333
2013-11-05,-7.6923
2013-11-14,5.5556
2013-12-04,4.2105
2013-12-16,-4.0404
2013-12-18,0.0
2014-01-17,5.2632
2014-05-08,2.5
2014-05-14,-4.878
2014-05-27,0.0
2014-11-19,2.5641
2014-11-25,5.0
2014-12-15,13.0221
2014-12-30,-8.6957
2015-01-14,9.5238
2015-02-09,4.3478
2015-02-19,1.0417
2015-02-23,3.0928
2015-03-19,0.0
2015-03-23,6.0
2015-06-09,2.8302
2015-06-17,6.4216
2015-06-19,-8.6203
2015-06-22,5.6604
2015-06-23,3.5714
2015-11-20,9.6491
2016-02-11,1.626
2016-08-12,3.2846
2016-08-23,10.2015
2016-11-17,2.8571
2016-12-08,0.0
2016-12-13,0.1408
2017-02-16,6.8917
2017-03-07,-5.7632
2017-03-08,6.1156
2017-03-30,-5.2368
2017-04-17,2.7492
2017-05-09,0.0
2017-05-16,7.7027
2017-05-23,0.3764
2017-10-26,1.2658
2017-11-01,1.25
2017-11-02,3.7037
2017-11-16,-2.3810000000000002
2017-12-22,1.2346
2018-02-01,-4.878
2018-07-20,4.5455
2018-10-01,0.0
2018-10-05,0.0248
2018-10-26,0.0
2018-12-07,-2.3845
2019-03-12,0.5155
2019-05-03,-10.2564
2019-07-02,-5.0725
2019-07-03,2.7481
2019-07-22,-1.1887
2019-07-25,2.2556
2019-07-30,-2.2059
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-16,-3.7594
2019-09-27,-2.0312
2019-11-14,0.1595
2019-11-29,-0.1592
2020-02-07,-2.5932
2020-03-02,0.0
2020-03-06,-6.822
2020-03-19,-21.4286
2020-03-26,2.2727
2020-05-14,-2.2222
2020-05-15,-15.9091
2020-06-04,8.1081
2020-07-28,12.8205
2020-07-29,-4.5455
