ticker,LSBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-04,7.0
2006-04-05,0.0935
2006-04-06,-0.5602
2006-04-07,-1.8779
2006-04-10,0.9569
2006-04-11,-0.6635
2006-04-12,0.1908
2006-04-13,0.5714
2006-04-17,-1.5152
2006-04-18,0.9615
2006-04-19,0.0
2006-04-20,-0.7619
2006-04-21,-0.6718
2006-04-24,1.1594
2006-04-25,-0.4776
2006-04-26,-0.1919
2006-04-27,-0.1731
2006-05-01,-1.5604
2006-05-02,0.5871
2006-05-03,0.0973
2006-05-04,-1.3605
2006-05-05,0.2956
2006-05-08,0.6876
2006-05-09,0.878
2006-05-10,-0.5803
2006-05-11,-0.9728
2006-05-12,-0.6876
2006-05-15,0.3956
2006-05-16,-0.0985
2006-05-17,-0.6114
2006-05-18,0.2183
2006-05-19,-0.495
2006-05-22,0.597
2006-05-23,-0.0989
2006-05-24,-0.8911
2006-05-25,0.5994
2006-05-26,-0.1986
2006-05-30,0.199
2006-05-31,-0.1986
2006-06-01,0.0
2006-06-02,-0.0995
2006-06-05,-0.2988
2006-06-06,0.0
2006-06-07,0.0999
2006-06-08,0.2994
2006-06-09,0.0995
2006-06-12,-0.5964
2006-06-14,0.0
2006-06-16,-0.8
2006-06-19,0.0
2006-06-20,0.3024
2006-06-21,-0.3015
2006-06-23,0.3024
2006-06-26,0.1005
2006-06-27,1.1044
2006-06-28,-0.1986
2006-06-29,0.4975
2006-06-30,-0.7921
2006-07-03,-0.0998
2006-07-05,0.1998
2006-07-06,-0.1994
2006-07-07,0.0999
2006-07-10,0.0
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,0.0
2006-07-14,0.0
2006-07-17,0.3992
2006-07-18,0.6958
2006-07-19,-0.7897
2006-07-20,0.0
2006-07-21,0.4975
2006-07-24,-0.099
2006-07-25,-0.1982
2006-07-26,0.1986
2006-07-27,0.0
2006-08-03,0.5946
2006-08-04,0.0
2006-08-07,0.2956
2006-08-08,-0.7859
2006-08-09,-0.099
2006-08-10,0.0
2006-08-11,0.0
2006-08-14,1.5857
2006-08-15,2.439
2006-08-16,0.1714
2006-08-17,1.255
2006-08-18,-0.2817
2006-08-21,1.2241
2006-08-23,0.0
2006-08-24,-0.1488
2006-08-25,1.0807
2006-08-28,-1.5668
2006-08-29,-0.7491
2006-08-30,0.9434
2006-09-01,1.4019
2006-09-05,-0.553
2006-09-07,0.0927
2006-09-08,-0.463
2006-09-11,1.7673999999999999
2006-09-12,-0.0011
