ticker,COECF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-22,-0.641
2000-02-23,0.0
2000-04-11,38.0645
2000-08-22,-37.3832
2000-09-29,2.2388
2001-04-09,-45.2555
2003-09-24,-37.0667
2003-10-06,16.5254
2003-10-16,24.5455
2004-01-12,-14.5985
2004-04-21,-44.4444
2004-09-20,68.9231
2004-10-07,10.2004
2004-10-22,0.0
2004-11-24,-1.6529
2004-12-10,-9.2437
2005-01-21,-7.7778
2005-03-29,33.5341
2005-05-27,-12.782
2005-07-11,-20.6897
2006-01-09,-26.9565
2006-03-24,-45.5357
2006-04-06,9.2896
2006-05-10,20.0
2006-05-11,0.0
2006-05-26,-0.8333
2006-07-14,27.7311
2006-07-21,-12.5
2006-08-25,36.4662
2006-09-28,-23.9669
2006-10-18,-19.2029
2006-10-19,13.8453
2006-10-30,15.4604
2006-11-22,3.6673999999999998
2006-12-06,-0.5759
2007-01-05,-25.1552
2007-05-22,-7.7114
2007-07-27,119.4669
2007-08-02,-26.4192
2007-12-20,-23.2938
2008-01-07,35.0097
2008-02-04,-13.467
2008-02-21,-0.6623
2008-02-22,-1.1667
2008-04-25,-35.4132
2008-05-28,28.4595
2008-06-03,-0.813
2008-12-30,-93.8525
2009-04-14,509.1667
2009-04-17,-69.9042
2009-06-26,34.5455
2009-08-11,12.6689
2009-08-24,68.3658
2009-09-02,-28.7622
2009-09-10,39.375
2009-09-16,-19.9103
2009-09-28,101.5677
2009-10-08,-2.9444
2010-04-27,4.8655
2010-06-02,-32.5873
2010-06-21,1.2955
2010-06-30,2.7178
2010-07-15,13.7743
2010-07-30,-2.1888
2010-09-28,30.2098
2010-10-21,12.7282
2010-10-25,14.3402
2010-11-17,0.125
2010-12-03,59.2593
2010-12-06,12.3073
2010-12-07,-9.4695
2010-12-08,1.7219
2010-12-15,-3.234
2010-12-29,1.5144
2010-12-30,-8.642
2011-01-05,22.0721
2011-01-07,0.5535
2011-01-12,1.2844
2011-01-13,-10.2582
2011-01-14,2.1448
2011-01-18,-7.6581
2011-02-01,-11.878
2011-02-09,28.7189
2011-02-10,2.3821
2011-02-11,5.4135
2011-02-17,-11.2981
2011-02-22,1.5028000000000001
2011-02-25,11.1165
2011-03-09,-4.4124
2011-03-14,-22.1207
2011-03-15,-0.939
2011-03-21,22.7488
2011-04-11,-2.1236
2011-04-12,-1.7012
2011-04-15,-4.8909
2011-04-18,-2.7426
2011-04-19,0.6508
2011-04-20,0.431
2011-04-21,5.1502
