ticker,DOMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-29,30.0
2018-07-02,-13.0037
2018-07-03,-2.2737
2018-07-05,-3.2314
2018-07-06,-2.5378
2018-07-09,-4.3399
2018-07-10,-5.0143
2018-07-11,-4.2232
2018-07-12,4.147
2018-07-13,-0.6048
2018-07-16,-3.7018
2018-07-17,1.3691
2018-07-18,-2.0779
2018-07-19,-1.1671
2018-07-20,0.2684
2018-07-23,3.3191
2018-07-24,-0.6736
2018-07-25,2.6604
2018-07-26,-7.2154
2018-07-27,-8.9266
2018-07-30,-3.4275
2018-07-31,3.4247
2018-08-01,-0.5418
2018-08-02,0.6053
2018-08-03,2.4669
2018-08-06,1.9378
2018-08-07,2.1889
2018-08-08,1.071
2018-08-09,-1.2828
2018-08-10,1.2429000000000001
2018-08-13,3.2923999999999998
2018-08-14,-0.2701
2018-08-15,-3.1961
2018-08-16,2.3503
2018-08-17,-1.5856
2018-08-20,-0.7222
2018-08-21,4.4208
2018-08-22,6.8596
2018-08-23,-1.3541
2018-08-24,1.6777
2018-08-27,2.65
2018-08-28,2.1432
2018-08-29,7.7253
2018-08-30,3.4086
2018-08-31,0.6421
2018-09-04,-6.0825
2018-09-05,-5.2989
2018-09-06,3.8737
2018-09-07,-11.326
2018-09-10,6.2825
2018-09-11,3.6639
2018-09-12,-5.2780000000000005
2018-09-13,7.2139
2018-09-14,1.9954
2018-09-17,-3.5942
2018-09-18,1.1326
2018-09-19,-3.3131
2018-09-20,3.8609999999999998
2018-09-21,-4.6468
2018-09-24,-0.731
2018-09-25,1.0309
2018-09-26,5.4908
2018-09-27,-2.7176
2018-09-28,1.5625
2018-10-01,-1.5851
2018-10-02,0.2842
2018-10-03,-2.1256
2018-10-04,-3.3301
2018-10-05,-4.7429
2018-10-08,-4.1929
2018-10-09,-5.0875
2018-10-10,-2.9395
2018-10-11,5.6413
2018-10-12,6.127
2018-10-15,-3.2309
2018-10-16,5.8019
2018-10-17,-2.8971
2018-10-18,-2.7171
2018-10-19,-2.4096
2018-10-22,-2.5814
2018-10-23,-1.3249
2018-10-24,-0.6421
2018-10-25,1.6451
2018-10-26,-2.7168
2018-10-29,-2.1985
2018-10-30,-3.1592000000000002
2018-10-31,1.8193000000000001
2018-11-01,2.7725999999999997
2018-11-02,-0.8993
2018-11-05,-1.6939
2018-11-06,-0.3077
2018-11-07,3.9506
2018-11-08,5.9382
2018-11-09,-3.0269
2018-11-12,-6.5318000000000005
2018-11-13,-0.6184
