ticker,MSGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-26,-1.9779
2010-01-27,-4.0357
2010-01-28,-0.2445
2010-01-29,-3.9215999999999998
2010-02-01,0.2551
2010-02-02,-0.2545
2010-02-03,-1.5306
2010-02-04,-4.1451
2010-02-05,-2.2702999999999998
2010-02-08,4.5354
2010-02-09,-3.5979
2010-02-10,-3.9516999999999998
2010-02-11,1.2570999999999999
2010-02-12,11.5124
2010-02-16,1.2146
2010-02-17,-0.65
2010-02-18,-0.9059
2010-02-19,-0.965
2010-02-22,-0.8718
2010-02-23,-1.9659
2010-02-24,0.1055
2010-02-25,1.6341999999999999
2010-02-26,1.1411
2010-03-01,3.8462
2010-03-02,1.2346
2010-03-03,-0.878
2010-03-04,-1.7717
2010-03-05,-1.8287
2010-03-08,-0.4848
2010-03-09,-0.6667
2010-03-10,-1.9618
2010-03-11,-0.5266
2010-03-12,2.6997999999999998
2010-03-15,-2.1649
2010-03-16,2.7923999999999998
2010-03-17,2.6653000000000002
2010-03-18,0.1498
2010-03-19,0.0997
2010-03-22,0.1494
2010-03-23,4.3759
2010-03-24,-0.7623
2010-03-25,3.6006
2010-03-26,1.9462000000000002
2010-03-29,-0.4545
2010-03-30,0.0457
2010-03-31,-0.8215
2010-04-01,0.3682
2010-04-05,-0.0917
2010-04-06,1.2391
2010-04-07,-0.1813
2010-04-08,0.0454
2010-04-09,0.5901
2010-04-12,0.7671
2010-04-13,-1.9257
2010-04-14,0.411
2010-04-15,-0.0455
2010-04-16,-0.7734
2010-04-19,0.0917
2010-04-20,0.4123
2010-04-21,0.0456
2010-04-22,-1.1400000000000001
2010-04-23,-0.4151
2010-04-26,0.3705
2010-04-27,-1.3383
2010-04-28,-2.0112
2010-04-29,0.2387
2010-04-30,-1.1905000000000001
2010-05-03,0.0482
2010-05-04,-1.5413999999999999
2010-05-05,-2.3483
2010-05-06,-2.3045999999999998
2010-05-07,4.2051
2010-05-10,4.0846
2010-05-11,2.6005000000000003
2010-05-12,1.7511999999999999
2010-05-13,0.2717
2010-05-14,-0.6323
2010-05-17,0.1364
2010-05-18,-0.6355
2010-05-19,-0.2741
2010-05-20,-5.2222
2010-05-21,1.015
2010-05-24,-0.622
2010-05-25,-2.311
2010-05-26,-0.1479
2010-05-27,3.8006
2010-05-28,0.1902
2010-06-01,-0.2848
2010-06-02,0.5712
2010-06-03,-0.4259
2010-06-04,-4.943
2010-06-07,-1.45
2010-06-08,-2.7397
2010-06-09,1.1476
