ticker,CLVFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-19,33.3333
2000-01-27,-25.0
2000-02-08,0.0
2000-02-24,22.2222
2000-02-29,-13.6364
2000-03-14,-5.2632
2000-03-22,11.1111
2000-04-10,0.0
2000-04-20,5.0
2000-06-01,0.0
2000-06-23,-4.7619
2000-07-14,5.0
2000-07-28,-4.7619
2000-08-15,7.505
2000-09-25,20.9246
2000-09-27,-15.3846
2000-10-09,-9.0909
2000-11-14,0.0
2000-11-24,65.0
2000-11-27,-27.2727
2000-11-29,8.3333
2000-12-11,-7.6923
2000-12-28,-16.6667
2001-02-06,5.0
2001-03-07,-23.8095
2001-07-20,85.0
2001-08-09,-45.9459
2001-08-10,85.0
2001-11-02,-44.3243
2002-01-03,-1.9417
2002-01-16,122.7723
2002-01-23,-22.2222
2002-01-25,14.2857
2002-02-12,-12.5
2002-02-14,28.5714
2002-04-03,-22.2222
2002-06-25,2.8571
2002-07-15,1.1111
2002-07-16,9.8901
2002-08-01,7.5
2002-09-20,-6.9767
2002-09-26,-9.0
2002-10-10,0.0
2002-11-21,0.0
2002-12-30,7.1429
2003-07-08,10.2564
2003-07-14,20.9302
2003-07-18,-23.0769
2003-08-04,0.0
2003-08-18,0.0
2003-08-26,7.5
2003-10-10,5.1163
2003-10-17,-19.469
2003-11-06,4.3956
2003-12-11,6.3158
2003-12-15,0.0
2003-12-30,0.0
2003-12-31,11.3861
2004-01-05,11.1111
2004-01-21,-13.6
2004-01-27,0.0
2004-02-20,0.0
2004-04-02,4.1667
2004-04-28,1.7778
2004-05-03,3.9301
2004-05-05,-3.7815
2004-05-13,9.1703
2004-05-18,-9.6
2004-07-28,0.885
2004-08-05,0.0
2004-08-30,7.8947
2004-09-24,5.6911000000000005
2004-10-19,-5.7692
2004-10-20,0.0
2004-11-01,0.0
2004-11-08,2.0408
2004-11-15,14.0
2004-11-17,0.0
2005-01-11,-8.7719
2005-01-18,0.0
2005-03-03,0.0
2005-03-07,1.9231
2005-03-08,1.8868
2005-03-17,7.4074
2005-05-02,-6.8966
2005-06-01,11.1111
2005-06-09,3.3333
2005-06-10,-3.2258
2005-06-14,8.3333
2005-06-15,4.6154
2005-07-01,-7.3529
2005-07-07,-7.9365
2005-07-08,10.3448
2005-07-18,6.25
2005-07-19,0.0
2005-07-22,1.4706000000000001
2005-07-27,1.4493
2005-08-12,2.8571
2005-08-15,1.3889
2005-09-14,-15.0685
2005-11-02,1.6129
2005-11-08,0.0
2005-12-01,3.1746
