ticker,PDXP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-26,-10.526299999999999
2007-07-31,5.8824
2007-08-03,7.0
2007-08-06,0.7269
2007-08-07,4.1237
2007-08-08,0.0
2007-08-09,-0.9901
2007-08-10,0.0
2007-08-13,-5.0
2007-08-17,0.0
2007-08-20,-5.2632
2007-08-22,4.4444
2007-08-23,-1.0638
2007-08-24,-3.2258
2007-08-27,-4.4444
2007-08-28,-3.4884
2007-08-29,8.4337
2007-08-31,0.0
2007-09-05,-11.1111
2007-09-10,9.375
2007-09-12,2.8571
2007-09-13,0.0
2007-09-14,0.0
2007-09-17,0.0
2007-09-19,-11.1111
2007-09-20,0.0
2007-09-21,-10.0
2007-09-24,4.1667
2007-09-25,-72.0
2007-09-26,42.8571
2007-09-27,-30.0
2007-09-28,19.0476
2007-10-01,20.0
2007-10-02,-20.0
2007-10-03,-25.0
2007-10-04,11.1111
2007-10-05,25.0
2007-10-08,-12.0
2007-10-09,36.3636
2007-10-10,16.6667
2007-10-11,0.0
2007-10-12,0.0
2007-10-15,-2.8571
2007-10-16,0.0
2007-10-17,0.0
2007-10-18,-26.4706
2007-10-19,0.0
2007-10-22,0.0
2007-10-23,-20.0
2007-10-24,50.0
2007-10-25,-33.3333
2007-10-26,100.0
2007-10-30,-5.0
2007-10-31,18.4211
2007-11-01,-28.8889
2007-11-02,-34.375
2007-11-05,4.7619
2007-11-06,59.0909
2007-11-08,-14.2857
2007-11-09,16.6667
2007-11-12,14.2857
2007-11-13,-12.5
2007-11-14,14.2857
2007-11-16,0.0
2007-11-21,-12.5
2007-11-26,40.0
2007-11-27,12.2449
2007-11-28,9.0909
2007-11-29,8.3333
2007-11-30,-15.3846
2007-12-03,-5.4545
2007-12-04,34.6154
2007-12-05,-7.1429
2007-12-06,-18.4615
2007-12-07,-15.0943
2007-12-10,0.0
2007-12-11,-11.1111
2007-12-14,47.5
2007-12-17,-11.8644
2007-12-18,-13.461500000000001
2007-12-19,17.7778
2007-12-20,-15.0943
2007-12-21,22.2222
2007-12-24,0.0
2007-12-26,-12.7273
2007-12-28,-16.6667
2007-12-31,12.5
2008-01-04,-33.3333
2008-01-07,0.0
2008-01-08,0.0
2008-01-09,-3.3333
2008-01-10,-31.0345
2008-01-11,125.0
2008-01-14,33.3333
2008-01-15,-25.0
2008-01-16,0.0
2008-01-17,-33.3333
2008-01-18,83.3333
2008-01-23,0.0
2008-01-25,-14.5455
2008-01-28,-4.2553
2008-01-30,4.4444
