ticker,DL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-30,-5.2857
2008-07-31,-7.2398
2008-08-01,3.4146
2008-08-04,1.4151
2008-08-05,0.0
2008-08-06,-0.155
2008-08-07,0.0
2008-08-08,-0.7764
2008-08-11,-0.626
2008-08-12,-2.6772
2008-08-13,-0.9709
2008-08-14,0.4902
2008-08-15,-1.626
2008-08-18,-13.0579
2008-08-19,-4.943
2008-08-20,0.0
2008-08-21,-3.0
2008-08-22,-6.1856
2008-08-25,-8.7912
2008-08-26,-10.8434
2008-08-27,-1.3514
2008-08-28,4.1096
2008-08-29,7.2632
2008-09-02,16.535800000000002
2008-09-03,-1.4737
2008-09-04,-5.7692
2008-09-05,6.576
2008-09-08,-5.3191
2008-09-09,-5.618
2008-09-10,-2.3810000000000002
2008-09-11,1.9512
2008-09-12,-6.9378
2008-09-15,-4.8843
2008-09-16,-2.7027
2008-09-17,-10.8333
2008-09-18,16.822400000000002
2008-09-19,13.6
2008-09-22,-10.7981
2008-09-23,0.0
2008-09-24,-11.8421
2008-09-25,5.4627
2008-09-26,6.1421
2008-09-29,0.0
2008-09-30,6.6667
2008-10-01,6.25
2008-10-02,5.8824
2008-10-03,-0.2222
2008-10-06,-5.5679
2008-10-07,0.7075
2008-10-08,1.8735
2008-10-09,-2.2989
2008-10-10,-5.8824
2008-10-13,0.0
2008-10-14,0.75
2008-10-15,2.4814
2008-10-16,-3.1477
2008-10-17,-7.5
2008-10-20,2.7027
2008-10-21,1.0526
2008-10-22,6.7708
2008-10-23,-1.4634
2008-10-24,-2.7228
2008-10-27,-5.3435
2008-10-28,-5.914
2008-10-29,0.0
2008-10-30,2.0
2008-10-31,-1.6806999999999999
2008-11-03,6.8376
2008-11-04,2.6667
2008-11-05,0.0
2008-11-06,5.1948
2008-11-10,-2.963
2008-11-11,-3.3079
2008-11-12,1.0526
2008-11-13,1.5625
2008-11-14,-1.5385
2008-11-17,-3.6458
2008-11-18,-10.5405
2008-11-19,-24.4713
2008-11-20,21.6
2008-11-21,-11.1842
2008-11-24,-7.7778
2008-11-25,8.4337
2008-11-26,14.8148
2008-11-28,2.9032
2008-12-01,-3.7618
2008-12-02,6.8404
2008-12-03,-8.5366
2008-12-04,11.6667
2008-12-05,-10.1493
2008-12-08,6.3123000000000005
2008-12-09,-2.8125
2008-12-10,8.0386
2008-12-11,4.1667
2008-12-12,5.7143
2008-12-15,15.9459
2008-12-16,-10.4895
2008-12-17,4.9479
2008-12-18,7.9404
