ticker,MTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.365
2000-01-04,-2.1201
2000-01-05,-2.1661
2000-01-06,2.214
2000-01-07,2.8881
2000-01-10,4.5614
2000-01-11,-3.1879
2000-01-12,-0.5199
2000-01-13,0.0
2000-01-14,-1.0453
2000-01-18,-1.0563
2000-01-19,0.5338
2000-01-20,-1.2389000000000001
2000-01-21,0.0
2000-01-24,-0.7168
2000-01-25,-1.2635
2000-01-26,-0.7313
2000-01-27,-2.2099
2000-01-28,-2.6365
2000-01-31,-1.354
2000-02-01,0.3922
2000-02-02,1.1719
2000-02-03,8.1081
2000-02-04,8.2143
2000-02-07,0.33
2000-02-08,-1.6447
2000-02-09,-0.8361
2000-02-10,0.8432
2000-02-11,-0.1672
2000-02-14,1.5074999999999998
2000-02-15,0.8251
2000-02-16,0.491
2000-02-17,-1.1401
2000-02-18,-3.7891
2000-02-22,-0.6849
2000-02-23,1.8965999999999998
2000-02-24,-0.3384
2000-02-25,0.5093
2000-02-28,4.5608
2000-02-29,-0.1616
2000-03-01,-0.4854
2000-03-02,-2.9268
2000-03-03,0.0
2000-03-06,-1.1724999999999999
2000-03-07,4.4068
2000-03-08,-2.5974
2000-03-09,-1.3333
2000-03-10,1.3514
2000-03-13,1.8333
2000-03-14,0.6547
2000-03-15,2.1138
2000-03-16,8.598700000000001
2000-03-17,-0.4399
2000-03-20,1.0309
2000-03-21,0.1458
2000-03-22,3.6390000000000002
2000-03-23,-0.9831
2000-03-24,-5.3901
2000-03-27,-2.6987
2000-03-28,-2.6193999999999997
2000-03-29,2.5316
2000-03-30,0.0
2000-03-31,1.0802
2000-04-03,-1.8321
2000-04-04,-0.4666
2000-04-05,0.3125
2000-04-06,-0.1558
2000-04-07,1.248
2000-04-10,-0.9245
2000-04-11,-0.4666
2000-04-12,0.7813
2000-04-13,1.5504
2000-04-14,-5.3435
2000-04-17,4.1935
2000-04-18,5.7276
2000-04-19,3.9531
2000-04-20,-0.8451
2000-04-24,-13.0682
2000-04-25,14.5425
2000-04-26,-4.7076
2000-04-27,-1.7964
2000-04-28,-15.8537
2000-05-01,0.9058
2000-05-02,-2.3339
2000-05-03,4.5956
2000-05-04,-0.703
2000-05-05,1.7699
2000-05-08,-4.8696
2000-05-09,-2.3766
2000-05-10,5.8052
2000-05-11,13.0973
2000-05-12,-5.0078
2000-05-15,-2.6359
2000-05-16,4.5685
2000-05-17,-5.178
2000-05-18,-0.5119
2000-05-19,-4.1166
