ticker,BSIG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-09,-0.3571
2014-10-10,-0.5735
2014-10-13,0.9373
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,-0.6429
2014-10-17,0.3595
2014-10-20,2.3639
2014-10-21,2.7292
2014-10-22,0.1362
2014-10-23,-1.3605
2014-10-24,2.7586
2014-10-27,-0.9396
2014-10-28,1.626
2014-10-29,-1.4667
2014-10-30,-1.0149
2014-10-31,2.324
2014-11-03,-1.5364
2014-11-04,-0.2714
2014-11-05,2.8571
2014-11-06,1.8519
2014-11-07,1.7532
2014-11-10,-1.404
2014-11-11,-0.5178
2014-11-12,2.0169
2014-11-13,-0.574
2014-11-14,-0.1283
2014-11-17,1.1561
2014-11-18,-0.5714
2014-11-19,-3.3844
2014-11-20,1.4541
2014-11-21,0.7166
2014-11-24,0.7762
2014-11-25,-0.5135
2014-11-26,1.2258
2014-11-28,-1.211
2014-12-01,0.129
2014-12-02,0.1933
2014-12-03,0.1929
2014-12-04,-0.5135
2014-12-05,1.871
2014-12-08,0.8233
2014-12-09,0.1256
2014-12-10,0.1255
2014-12-11,0.3759
2014-12-12,-0.9363
2014-12-15,0.6931
2014-12-16,-1.3141
2014-12-17,2.0292
2014-12-18,1.9266999999999999
2014-12-19,1.7073
2014-12-22,-1.4388
2014-12-23,-1.2774
2014-12-24,-0.4313
2014-12-26,0.5569
2014-12-29,0.0
2014-12-30,-0.1846
2014-12-31,0.1233
2015-01-02,-0.7389
2015-01-05,-1.3648
2015-01-06,-2.7044
2015-01-07,0.4525
2015-01-08,-0.1931
2015-01-09,-0.7092
2015-01-12,0.0
2015-01-13,1.5584
2015-01-14,-0.5754
2015-01-15,0.0643
2015-01-16,1.3496000000000001
2015-01-20,1.7755
2015-01-21,-1.7445
2015-01-22,3.1706
2015-01-23,-3.7492
2015-01-26,-1.2771
2015-01-27,-1.0996
2015-01-28,-0.654
2015-01-29,1.7117
2015-01-30,-1.877
2015-02-02,5.409
2015-02-03,0.2503
2015-02-04,0.6242
2015-02-05,0.4963
2015-02-06,-1.2346
2015-02-09,-0.9375
2015-02-10,0.9464
2015-02-11,0.4375
2015-02-12,0.9956
2015-02-13,1.7868
2015-02-17,3.0872
2015-02-18,-0.8808
2015-02-19,1.955
2015-02-20,-0.0581
2015-02-23,0.814
2015-02-24,-0.692
2015-02-25,-1.2195
2015-02-26,1.1758
2015-02-27,4.3579
2015-03-02,-1.1136
2015-03-03,0.3378
2015-03-04,-1.6274
