ticker,GLRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-24,26.4737
2007-05-25,3.1211
2007-05-29,-2.8249
2007-05-30,-1.3704
2007-05-31,-0.2105
2007-06-01,0.7595
2007-06-04,-1.005
2007-06-05,0.0
2007-06-06,0.2538
2007-06-07,1.1814
2007-06-08,-1.4178
2007-06-11,0.0423
2007-06-12,-0.1268
2007-06-13,-0.508
2007-06-14,-0.5957
2007-06-15,-1.5411000000000001
2007-06-18,1.1304
2007-06-19,0.5159
2007-06-20,0.1283
2007-06-21,0.0
2007-06-22,-0.0427
2007-06-25,-1.3675
2007-06-26,-2.4697
2007-06-27,3.1542
2007-06-28,-1.0336
2007-06-29,-1.9582000000000002
2007-07-02,-0.1332
2007-07-03,-0.4444
2007-07-05,-0.7589
2007-07-06,0.5398
2007-07-09,0.3132
2007-07-10,-1.4719
2007-07-11,0.0453
2007-07-12,3.0317
2007-07-13,4.8309
2007-07-16,-2.2622999999999998
2007-07-17,0.8144
2007-07-18,0.9779
2007-07-19,-2.0211
2007-07-20,-1.0743
2007-07-23,-0.4778
2007-07-24,-2.2698
2007-07-25,-1.5274999999999999
2007-07-26,-2.6216
2007-07-27,-2.1891
2007-07-30,0.7143
2007-07-31,-0.7092
2007-08-01,0.3333
2007-08-02,-0.3322
2007-08-03,-5.3333
2007-08-06,1.006
2007-08-07,-4.5817
2007-08-08,5.428
2007-08-09,-2.9703
2007-08-10,0.2551
2007-08-13,-0.6616
2007-08-14,0.0
2007-08-15,0.4098
2007-08-16,1.1224
2007-08-17,-0.6559
2007-08-20,6.3992
2007-08-21,-3.7709
2007-08-22,-0.4464
2007-08-23,-0.3488
2007-08-24,1.95
2007-08-27,-2.0108
2007-08-28,0.7508
2007-08-29,2.8316
2007-08-30,-2.2222
2007-08-31,-2.0751
2007-09-04,6.2562999999999995
2007-09-05,-0.2849
2007-09-06,-1.619
2007-09-07,-2.5653
2007-09-10,1.0432
2007-09-11,2.3106999999999998
2007-09-12,-1.5377
2007-09-13,-1.6105
2007-09-14,-0.6448
2007-09-17,-0.2496
2007-09-18,2.1021
2007-09-19,0.6863
2007-09-20,0.0
2007-09-21,0.1461
2007-09-24,-1.896
2007-09-25,0.7433
2007-09-26,0.4919
2007-09-27,0.93
2007-09-28,-1.6489
2007-10-01,1.43
2007-10-02,-0.9723
2007-10-03,-1.7673
2007-10-04,0.0
2007-10-05,2.049
2007-10-08,-1.714
2007-10-09,1.6442
2007-10-10,-1.8136999999999999
