ticker,BAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-06-21,0.0
2001-06-22,0.0
2001-09-21,-6.9767
2001-11-28,0.0
2001-12-04,10.0
2001-12-10,-6.8182
2001-12-13,-2.439
2002-05-02,5.0
2002-05-22,23.8095
2002-07-01,-11.3077
2002-11-11,13.2697
2003-01-28,22.5881
2003-02-03,-5.6838999999999995
2003-03-24,0.9934
2003-05-06,3.9344
2003-05-20,3.7855
2003-06-23,4.0122
2003-07-15,15.3127
2003-07-21,-12.5697
2003-08-06,8.6957
2003-10-27,17.3333
2003-10-28,0.0
2003-11-21,7.7273
2003-11-24,-0.8439
2003-11-28,27.6596
2003-12-09,-29.3333
2004-01-13,3.7736
2004-02-27,1.1364
2004-04-20,39.3258
2004-08-26,-22.4194
2004-09-08,0.4158
2004-09-21,10.766
2004-10-06,-0.9346
2008-10-21,58.4906
2008-10-22,-4.7619
2008-11-03,-15.0
2008-11-11,0.0
2008-12-10,-17.647100000000002
2008-12-12,7.1429
2009-02-09,0.0
2009-11-18,0.0
2010-03-19,-10.0
2010-04-30,11.1111
2010-12-07,-3.3333
2011-05-31,-0.7931
2011-06-01,7.7511
2011-06-15,16.129
2011-06-16,-0.2778
2011-07-11,0.2786
2011-08-25,-16.6667
2011-09-09,6.6667
2011-09-14,12.5
2011-09-26,0.0
2011-10-03,0.0
2011-10-25,0.0
2012-01-24,-22.2222
2012-01-26,-3.5714
2012-02-24,4.2593
2012-02-28,0.0
2012-04-03,0.0
2012-04-24,20.7815
2012-08-16,17.647100000000002
2012-10-18,10.25
2012-10-19,2.0408
2013-11-22,17.2414
2014-09-26,51.5152
2015-10-05,2.0408
2015-11-02,29.3333
2015-12-11,-21.466
2018-05-10,45.9184
2018-06-15,1.6317
2018-07-24,-1.6055000000000001
2018-09-05,18.4149
2020-03-06,-16.5354
