ticker,AGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-18,-7.9181
2015-12-21,1.6536
2015-12-22,3.7563
2015-12-23,5.3592
2015-12-24,1.3258
2015-12-28,-2.2697
2015-12-29,2.9234999999999998
2015-12-30,1.46
2015-12-31,0.471
2016-01-04,-1.4323000000000001
2016-01-05,0.7398
2016-01-06,-0.2098
2016-01-07,-0.657
2016-01-08,-0.1058
2016-01-11,-0.9799
2016-01-12,-0.3209
2016-01-13,-1.4757
2016-01-14,1.3072
2016-01-15,1.1022
2016-01-19,2.9513
2016-01-20,-3.2283
2016-01-21,-1.0141
2016-01-22,2.4265
2016-01-25,-2.4743
2016-01-26,0.9717
2016-01-27,1.0425
2016-01-28,0.0
2016-01-29,1.7196
2016-02-01,1.4043999999999999
2016-02-02,1.5645
2016-02-03,2.4242
2016-02-04,1.3807
2016-02-05,2.1644
2016-02-08,-1.2854
2016-02-09,-0.5546
2016-02-10,0.8244
2016-02-11,-1.5633
2016-02-12,-0.8307
2016-02-16,0.1478
2016-02-17,1.6236000000000002
2016-02-18,0.4599
2016-02-19,0.1446
2016-02-22,-6.7613
2016-02-23,-1.7806
2016-02-24,3.1529
2016-02-25,-0.5858
2016-02-26,-0.2562
2016-02-29,-0.3596
2016-03-01,-0.5414
2016-03-02,0.5184
2016-03-03,-0.5157
2016-03-04,-0.1296
2016-03-07,1.7389000000000001
2016-03-08,-0.4541
2016-03-09,0.2591
2016-03-10,-1.3957
2016-03-11,0.4456
2016-03-14,1.357
2016-03-15,-0.6179
2016-03-16,1.4249
2016-03-17,1.3538000000000001
2016-03-18,1.9657
2016-03-21,-0.7168
2016-03-22,0.3485
2016-03-23,-0.0744
2016-03-24,0.571
2016-03-28,-0.8887
2016-03-29,1.1208
2016-03-30,-0.7882
2016-03-31,-0.422
2016-04-01,-1.1967
2016-04-04,0.9589
2016-04-05,-1.3747
2016-04-06,-0.5575
2016-04-07,-0.4077
2016-04-08,-0.4094
2016-04-11,-0.0771
2016-04-12,-1.1057
2016-04-13,0.208
2016-04-14,-0.5968
2016-04-15,0.3654
2016-04-18,0.0
2016-04-19,0.4421
2016-04-20,-1.6313
2016-04-21,-1.6583
2016-04-22,0.5086
2016-04-25,1.7309999999999999
2016-04-26,2.199
2016-04-27,3.6372999999999998
2016-04-28,-0.2472
2016-04-29,-0.6442
2016-05-02,1.4464000000000001
2016-05-03,-0.9095
2016-05-04,1.3396
2016-05-05,-1.1261
2016-05-06,-0.1733
2016-05-09,-0.1736
