ticker,MET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-05,8.7719
2000-04-06,0.4032
2000-04-07,-1.6064
2000-04-10,0.8163
2000-04-11,-2.0243
2000-04-12,7.0248
2000-04-13,5.0193
2000-04-14,-6.6176
2000-04-17,1.5748
2000-04-18,0.0
2000-04-19,-0.7752
2000-04-20,-3.5156
2000-04-24,3.2389
2000-04-25,0.3922
2000-04-26,0.3906
2000-04-27,-0.7782
2000-04-28,3.9215999999999998
2000-05-01,8.6792
2000-05-02,-1.0417
2000-05-03,-1.7544
2000-05-04,0.0
2000-05-05,0.3571
2000-05-08,2.4911
2000-05-09,-4.8611
2000-05-10,2.5547
2000-05-11,2.4911
2000-05-12,2.4306
2000-05-15,2.7119
2000-05-16,0.6601
2000-05-17,0.0
2000-05-18,-0.7787
2000-05-19,-3.8414
2000-05-22,0.3436
2000-05-23,3.4247
2000-05-24,2.649
2000-05-25,-0.9677
2000-05-26,2.9316
2000-05-30,0.6329
2000-05-31,3.1447
2000-06-01,-2.439
2000-06-02,5.0
2000-06-05,-2.0833
2000-06-06,-0.6079
2000-06-07,1.2232
2000-06-08,-1.2085
2000-06-09,2.7523
2000-06-12,-2.6786
2000-06-13,1.8349
2000-06-14,-3.9039
2000-06-15,0.0
2000-06-16,0.3125
2000-06-19,-0.3115
2000-06-20,-5.9375
2000-06-21,-1.6611
2000-06-22,3.7161999999999997
2000-06-23,0.6515
2000-06-26,-0.6472
2000-06-27,3.5831
2000-06-28,-1.2579
2000-06-29,8.598700000000001
2000-06-30,-1.6496
2000-07-03,1.9754
2000-07-05,-1.1696
2000-07-06,3.5503
2000-07-07,0.0
2000-07-10,-2.0
2000-07-11,-2.9154999999999998
2000-07-12,-1.8018
2000-07-13,-3.0581
2000-07-14,5.3628
2000-07-17,-2.6946
2000-07-18,0.3077
2000-07-19,0.3067
2000-07-20,0.6116
2000-07-21,0.9119
2000-07-24,-1.2048
2000-07-25,2.439
2000-07-26,-0.8929
2000-07-27,-1.8018
2000-07-28,-0.6116
2000-07-31,3.3846
2000-08-01,0.5952
2000-08-02,-1.1834
2000-08-03,-3.5928
2000-08-04,0.9317
2000-08-07,10.1538
2000-08-08,4.1899
2000-08-09,-2.4129
2000-08-10,1.0989
2000-08-11,4.3478
2000-08-14,-4.1667
2000-08-15,3.5326
2000-08-16,-1.3123
2000-08-17,1.8617
2000-08-18,0.0
2000-08-21,-1.8277
2000-08-22,2.1277
2000-08-23,3.9063
2000-08-24,-2.7569
