ticker,LVCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-22,108.3333
2008-04-23,24.0
2008-04-24,-29.0323
2008-04-25,-27.2727
2008-04-28,-6.25
2008-04-29,-26.6667
2008-04-30,9.0909
2008-05-02,16.6667
2008-05-06,0.0
2008-05-08,-14.2857
2008-05-16,-16.6667
2008-05-20,-19.0
2008-05-23,-24.6914
2008-05-27,31.1475
2008-05-29,6.25
2008-05-30,-5.8824
2008-06-02,-12.5
2008-06-03,0.0
2008-06-04,14.2857
2008-06-05,100.0
2008-06-06,12.5
2008-06-09,-11.1111
2008-06-10,3.125
2008-06-12,21.2121
2008-06-13,0.0
2008-06-17,0.0
2008-06-18,25.0
2008-06-19,120.0
2008-06-20,18.1818
2008-06-23,24.6154
2008-06-24,9.8765
2008-06-25,-8.9888
2008-06-26,-22.2222
2008-06-27,19.0476
2008-06-30,0.0
2008-07-02,0.0
2008-07-03,0.6667
2008-07-07,-7.2848
2008-07-08,-25.7143
2008-07-09,-15.3846
2008-07-10,15.9091
2008-07-14,1.9607999999999999
2008-07-15,5.7692
2008-07-21,14.5455
2008-07-22,-4.7619
2008-07-23,-8.3333
2008-07-25,18.1818
2008-08-01,0.0
2008-08-12,4.6154
2008-08-21,-11.7647
2008-08-27,3.3333
2008-08-29,12.9032
2008-09-05,-25.7143
2008-09-08,0.3846
2008-09-09,29.3103
2008-09-11,2.2222
2008-09-12,5.7971
2008-09-15,4.1096
2008-09-16,0.0
2008-09-17,2.6316
2008-09-18,3.8462
2008-09-19,8.642
2008-09-22,19.3182
2008-09-23,2.8571
2008-09-24,8.3333
2008-09-25,4.2735
2008-09-26,0.0
2008-09-29,-34.4262
2008-09-30,47.5
2008-10-01,-9.322
2008-10-03,-5.6075
2008-10-06,8.6015
2008-10-14,-7.9202
2008-10-15,0.0
2008-10-16,0.0
2008-10-21,-5.9406
2008-10-24,0.0
2008-11-03,15.7895
2008-11-04,2.7273
2008-11-05,1.7699
2008-11-06,1.7391
2008-11-07,0.0
2008-11-11,-0.8547
2008-11-13,0.0
2008-11-14,-4.3103
2008-11-17,5.4054
2008-11-18,-1.7094
2008-11-21,-12.1739
2008-11-25,0.0
2008-11-26,0.0
2008-12-01,0.0
2008-12-02,8.9109
2008-12-03,-8.1818
2008-12-09,13.8614
2008-12-10,0.0
2008-12-11,0.0
2008-12-15,-12.1739
2008-12-17,-35.6436
2008-12-19,53.8462
2008-12-31,-45.0
2009-01-06,-18.1818
2009-01-09,11.1111
