ticker,PBHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-07,-9.8592
2000-01-14,-9.375
2000-01-20,3.4483
2000-01-24,6.6667
2000-01-25,-0.7812
2000-01-26,-6.2992
2000-01-27,-2.521
2000-01-31,8.6207
2000-02-01,-8.7302
2000-02-02,9.5652
2000-02-03,-4.7619
2000-02-04,23.3333
2000-02-08,-13.5135
2000-02-09,-9.375
2000-02-16,1.7241
2000-02-18,-1.6949
2000-02-22,10.3448
2000-02-23,-3.125
2000-02-29,-6.4516
2000-03-02,0.0
2000-03-06,32.7586
2000-03-07,-22.0779
2000-03-08,6.6667
2000-03-09,-3.125
2000-03-10,-6.4516
2000-03-13,10.3448
2000-03-15,-6.25
2000-03-16,1.6667
2000-03-21,0.0
2000-03-23,0.0
2000-03-27,-6.5574
2000-03-28,-1.7544
2000-03-29,15.1429
2000-04-04,-12.5
2000-04-07,7.1429
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-6.6667
2000-04-17,0.0
2000-04-18,1.7856999999999998
2000-04-19,-5.2632
2000-04-20,1.8519
2000-04-24,7.2727
2000-04-25,0.0
2000-04-27,-10.1695
2000-05-02,1.8868
2000-05-04,-7.4074
2000-05-08,0.0
2000-05-09,12.0
2000-05-11,-7.1429
2000-05-12,0.0
2000-05-17,0.0
2000-05-26,0.0
2000-05-31,1.9231
2000-06-22,-2.8302
2000-06-27,-0.9709
2000-07-05,21.734
2000-07-10,-21.9512
2000-07-11,8.3333
2000-07-13,7.6923
2000-07-26,-7.1429
2000-08-01,-5.7692
2000-08-02,-2.0408
2000-08-03,4.1667
2000-08-08,-2.0
2000-08-14,-1.0204
2000-08-15,7.2165
2000-08-16,-1.9231
2000-08-17,0.0
2000-08-18,0.0
2000-08-21,4.902
2000-08-22,-3.7382999999999997
2000-08-28,0.9709
2000-08-29,0.0
2000-09-05,7.6923
2000-09-07,7.1429
2000-09-13,6.6667
2000-09-14,4.6875
2000-09-15,-14.9254
2000-09-18,0.8772
2000-09-19,4.3478
2000-09-21,-6.6667
2000-09-25,0.0
2000-09-26,7.1429
2000-10-03,-5.914
2000-10-05,0.0
2000-10-12,5.3571
2000-10-13,5.0847
2000-10-23,-3.2258
2000-10-26,-10.0
2000-11-03,-7.4074
2000-11-14,-12.0
2000-11-15,22.7273
2000-11-16,-14.8148
2000-11-20,4.3478
2000-11-27,0.0
2000-11-29,0.0
2000-11-30,-1.0417
2000-12-05,0.0
2000-12-06,-2.1053
