ticker,SMBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.4878
2000-01-06,-6.7961
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-14,0.0
2000-01-19,4.1667
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,1.5
2000-01-28,-1.4778
2000-01-31,0.0
2000-02-01,4.0
2000-02-02,-3.8462
2000-02-04,5.0
2000-02-07,-4.7619
2000-02-08,0.0
2000-02-09,-6.0
2000-02-10,1.0638
2000-02-11,0.0
2000-02-15,0.0
2000-02-16,1.0638
2000-02-18,-7.3684
2000-02-22,-1.1364
2000-02-23,8.046
2000-02-24,1.0638
2000-02-25,-5.2632
2000-03-01,6.1111
2000-03-02,1.5707
2000-03-06,-1.0309
2000-03-07,0.0
2000-03-08,-5.2083
2000-03-09,1.0989
2000-03-14,-2.1739
2000-03-15,2.2222
2000-03-16,2.1739
2000-03-20,-1.5957
2000-03-21,1.6216
2000-03-22,-1.5957
2000-03-23,0.0
2000-03-24,0.0
2000-03-30,0.5405
2000-03-31,-0.5376
2000-04-03,0.5405
2000-04-04,-5.3763
2000-04-05,6.8182
2000-04-06,-4.7872
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,-1.1173
2000-04-12,1.1299
2000-04-13,1.6760000000000002
2000-04-14,5.4945
2000-04-18,0.5208
2000-04-19,2.0725
2000-04-24,2.5381
2000-04-25,1.9802
2000-04-26,0.0
2000-04-27,-0.9709
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,-0.9804
2000-05-15,0.0
2000-05-16,-1.0
2000-05-18,-1.0101
2000-05-22,0.0
2000-05-25,0.0
2000-05-30,2.0408
2000-06-01,3.0
2000-06-02,-1.4563
2000-06-05,-0.4926
2000-06-06,-0.9901
2000-06-07,0.0
2000-06-09,0.0
2000-06-15,1.0
2000-06-16,-0.9901
2000-06-19,0.0
2000-06-20,0.125
2000-06-21,2.8714
2000-06-23,-0.9709
2000-06-27,0.0
2000-06-29,0.0
2000-07-03,1.9607999999999999
2000-07-12,-2.8846
2000-07-13,0.0
2000-07-14,1.4851
2000-07-18,-0.4878
2000-07-19,-2.9412000000000003
2000-07-20,1.0101
2000-07-21,1.0
2000-07-24,-0.9901
2000-07-28,0.0
2000-08-01,1.0
2000-08-03,-0.9901
2000-08-09,4.0
2000-08-10,0.0
2000-08-11,-1.9231
2000-08-14,-0.495
2000-08-16,0.4975
2000-08-17,0.9901
