ticker,MBOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-10-10,-0.2817
2019-10-31,-1.9774
2019-11-07,1.4409
2019-11-21,0.8523
2020-01-23,1.5211000000000001
2020-01-24,0.1665
2020-02-18,10.8033
2020-03-05,0.0
2020-03-09,-9.25
2020-03-12,-0.8264
2020-05-07,0.0
2020-06-03,2.7778
2020-06-23,0.0
