ticker,BBLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-01,0.0
2016-04-04,0.0
2016-04-05,3.6585
2016-04-06,1.1764999999999999
2016-04-08,1.1628
2016-04-12,1.1494
2016-04-15,2.2727
2016-05-12,8.8889
2016-05-20,1.0204
2016-05-23,1.0101
2016-05-26,0.0
2016-07-22,-2.0
2016-08-08,5.102
2016-08-18,-41.7476
2016-08-19,65.0
2016-08-29,-39.3939
2016-08-30,-33.3333
2016-08-31,0.0
2016-09-09,0.0
2016-09-27,45.0
2016-09-29,-0.3448
2016-10-05,14.1869
2016-10-07,9.0909
2016-11-03,11.1111
2016-11-11,6.25
2016-11-14,5.8824
2016-12-01,5.5556
2016-12-05,3.1579
2016-12-13,2.0408
2016-12-23,-20.0
2017-01-03,-72.25
2017-01-04,71.1712
2017-01-12,-2.6316
2017-01-13,0.0
2017-01-17,5.4054
2017-01-26,2.5641
2017-02-24,0.0
2017-03-24,-5.0
2017-04-19,-21.0526
2017-04-25,0.0
2017-04-27,-3.3333
2017-05-08,33.9655
2017-05-16,-9.9099
2017-06-19,71.4286
2017-06-29,32.5667
2017-07-11,13.1506
2017-07-17,11.1111
2017-07-18,10.0
2017-07-21,4.5455
2017-08-10,2.6087
2017-08-17,-2.5423999999999998
2017-08-18,-4.3478
2017-08-21,-81.6364
2017-08-22,444.5545
2017-08-31,0.0
2017-09-01,-59.0909
2017-09-05,11.1111
2017-09-08,120.0
2017-09-11,-4.5455
2017-10-19,0.0
2017-10-23,-52.381
2017-10-24,86.0
2017-11-02,-3.2258
2017-11-03,0.0
2017-11-06,0.0
2017-11-09,5.3333
2017-11-10,0.211
2017-11-14,5.0526
2017-12-06,-19.6393
2017-12-07,22.1945
2017-12-21,-50.8163
2017-12-22,20.332
2017-12-26,0.0
2017-12-28,-22.4138
2018-01-04,20.0
2018-01-08,0.0
2018-01-09,-5.5556
2018-01-23,-31.3725
2018-01-24,14.2857
2018-01-25,-5.0
2018-01-26,-21.0526
2018-01-29,3.3333
2018-01-30,-67.0968
2018-01-31,96.0784
2018-02-01,0.0
2018-02-02,0.0
2018-02-09,40.0
2018-02-16,-4.2857
2018-02-22,-13.8806
2018-02-23,-1.9931
2018-03-09,74.1821
2018-03-12,9.1371
2018-03-13,-6.0465
2018-03-19,6.4356
2018-03-21,4.6512
2018-03-27,33.3333
2018-03-28,-49.3333
2018-03-29,96.7105
2018-04-02,-41.1371
2018-04-05,69.8864
2018-04-24,-66.5552
2018-04-27,100.0
2018-05-08,0.0
2018-05-09,12.5
2018-05-21,0.0
2018-06-25,-11.1111
2018-07-02,25.0
2018-07-05,0.0
2018-07-13,20.0
2018-07-19,-13.3333
2019-03-01,-61.5385
2019-09-17,-15.0
2019-12-31,-52.9412
