ticker,NARI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-22,123.7368
2020-05-26,6.0927
2020-05-27,-4.6563
2020-05-28,-0.5814
2020-05-29,2.924
2020-06-01,8.5227
2020-06-02,-1.0262
2020-06-03,11.003
2020-06-04,-0.8769
2020-06-05,-3.5577
2020-06-08,2.5125
2020-06-09,-0.5835
2020-06-10,-1.3892
2020-06-11,-6.2897
2020-06-12,4.1499
2020-06-15,-1.3620999999999999
2020-06-16,-1.0923
2020-06-17,1.7086999999999999
2020-06-18,-0.6351
2020-06-19,-0.6804
2020-06-22,-2.4289
2020-06-23,-1.0851
2020-06-24,0.9249
2020-06-25,0.1492
2020-06-26,0.3618
2020-06-29,1.8235999999999999
2020-06-30,0.8746
2020-07-01,-0.5367
2020-07-02,0.1245
2020-07-06,-0.3109
2020-07-07,-1.1229
2020-07-08,-0.0421
2020-07-09,7.1744
2020-07-10,4.4366
2020-07-13,-4.6805
2020-07-14,1.3804
2020-07-15,5.3686
2020-07-16,-6.7196
2020-07-17,5.6204
2020-07-20,7.6822
2020-07-21,-2.4883
2020-07-22,-4.1399
2020-07-23,2.5875
2020-07-24,-0.5444
2020-07-27,5.4552
2020-07-28,-0.6574
2020-07-29,0.3483
2020-07-30,1.5272000000000001
2020-07-31,-3.8974
