ticker,FSTJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-27,-10.0
2012-11-13,348.8889
2012-12-07,-49.505
2012-12-10,0.0
2013-02-11,0.0
2013-04-05,0.0
2013-04-15,-21.5686
2013-07-10,27.5
2013-11-14,7.8431
2013-11-15,-18.1818
2013-12-19,0.0
2014-10-31,-33.3333
2018-04-19,-66.6667
2018-07-17,100.0
2018-07-30,25.0
2018-11-14,-60.0
2018-11-16,-30.0
2018-12-11,-14.2857
2018-12-12,0.0
2019-01-03,-16.6667
2019-01-04,0.0
2019-01-07,19.0
2019-01-11,-15.9664
2019-02-12,20.0
2019-02-27,66.6667
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,80.0
2019-03-06,-22.2222
2019-03-11,7.1429
2019-03-12,0.0
2019-09-26,0.0
2019-10-14,6.6667
2019-11-06,6.25
2019-11-12,-0.0588
2019-12-02,-11.7128
2019-12-04,-33.3333
2019-12-11,-20.0
2019-12-12,-0.125
2020-02-03,-18.6483
2020-02-07,7.6923
2020-02-13,0.0
2020-02-14,42.8571
2020-03-17,-30.0
2020-05-15,-14.2857
2020-07-08,66.6667
2020-07-14,30.0
