ticker,NVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-18,-3.0588
2018-04-19,0.0809
2018-04-20,0.0404
2018-04-23,-4.8081
2018-04-24,-4.4567
2018-04-25,2.2657
2018-04-26,0.9991
2018-04-27,-1.7204000000000002
2018-04-30,-3.2823
2018-05-01,2.8054
2018-05-02,0.1761
2018-05-03,3.2953
2018-05-04,5.9124
2018-05-07,1.7671000000000001
2018-05-08,-2.8019
2018-05-09,-0.609
2018-05-10,2.0425
2018-05-11,2.442
2018-05-14,0.2345
2018-05-15,-1.5984
2018-05-16,-1.1094
2018-05-17,0.1202
2018-05-18,1.1605
2018-05-21,0.712
2018-05-22,2.1603
2018-05-23,1.115
2018-05-24,1.0266
2018-05-25,-0.7904
2018-05-29,0.9105
2018-05-30,0.4887
2018-05-31,1.3094000000000001
2018-06-01,-1.034
2018-06-04,3.097
2018-06-05,3.0764
2018-06-06,-1.3343
2018-06-07,-2.2776
2018-06-08,0.0728
2018-06-11,-0.0728
2018-06-12,-1.6752
2018-06-13,0.4074
2018-06-14,-1.3648
2018-06-15,0.2244
2018-06-18,0.3731
2018-06-19,1.4126
2018-06-20,-0.7698
2018-06-21,0.3325
2018-06-22,-1.3623
2018-06-25,-4.218
2018-06-26,-1.325
2018-06-27,-1.3822999999999999
2018-06-28,-0.6007
2018-06-29,1.1280999999999999
2018-07-02,-1.3546
2018-07-03,0.0404
2018-07-05,-0.0807
2018-07-06,-0.2828
2018-07-09,3.6872
2018-07-10,-1.8757000000000001
2018-07-11,-3.3453
2018-07-12,0.3296
2018-07-13,2.6283
2018-07-16,-0.5202
2018-07-17,-1.3274
2018-07-18,1.6307
2018-07-19,1.6045
2018-07-20,-2.9214
2018-07-23,2.6027
2018-07-24,0.872
2018-07-25,5.4224
2018-07-26,1.3791
2018-07-27,-1.0294
2018-07-30,0.0
2018-07-31,1.7831000000000001
2018-08-01,-0.6204
2018-08-02,0.6794
2018-08-03,3.0103
2018-08-06,1.7106
2018-08-07,1.5767
2018-08-08,-1.6212
2018-08-09,-0.2104
2018-08-10,-1.792
2018-08-13,-2.7191
2018-08-14,0.2207
2018-08-15,-1.3578000000000001
2018-08-16,1.2277
2018-08-17,0.3308
2018-08-20,0.3297
2018-08-21,1.862
2018-08-22,0.7885
2018-08-23,-0.4267
2018-08-24,-0.0714
2018-08-27,0.3217
2018-08-28,-0.3919
2018-08-29,2.7539
2018-08-30,-2.2624
2018-08-31,0.0356
2018-09-04,0.534
2018-09-05,0.7082
