ticker,MIST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,2.4667
2019-05-10,17.1113
2019-05-13,2.5
2019-05-14,0.542
2019-05-15,0.4852
2019-05-16,1.9849999999999999
2019-05-17,-1.5781
2019-05-20,1.8172000000000001
2019-05-21,1.8373
2019-05-22,5.6701
2019-05-23,-4.1951
2019-05-24,1.1202
2019-05-28,7.8046
2019-05-29,-1.915
2019-05-30,0.7619
2019-05-31,-2.1739
2019-06-03,-3.3333
2019-06-04,1.9489999999999998
2019-06-05,0.6863
2019-06-06,-3.408
2019-06-07,0.7056
2019-06-10,-6.0561
2019-06-11,-0.1066
2019-06-12,2.88
2019-06-13,10.1607
2019-06-14,-2.4941
2019-06-17,7.0946
2019-06-18,4.6417
2019-06-19,4.3928
2019-06-20,-0.9901
2019-06-21,-6.1667
2019-06-24,-1.5542
2019-06-25,0.3608
2019-06-26,0.9438
2019-06-27,3.0721
2019-06-28,17.2786
2019-07-01,-4.3831
2019-07-02,-10.9014
2019-07-03,-9.2088
2019-07-05,7.0
2019-07-08,-11.482
2019-07-09,8.1448
2019-07-10,-6.6016
2019-07-11,6.8193
2019-07-12,-11.137
2019-07-15,3.2512
2019-07-16,-1.6252
2019-07-17,0.1549
2019-07-18,-1.3402
2019-07-19,1.6196000000000002
2019-07-22,0.2571
2019-07-23,2.2308
2019-07-24,-1.5800999999999998
2019-07-25,-11.7227
2019-07-26,1.2125
2019-07-29,2.5197000000000003
2019-07-30,-11.2494
2019-07-31,1.5674000000000001
2019-08-01,-0.1852
2019-08-02,0.804
2019-08-05,-3.865
2019-08-06,4.4352
2019-08-07,-2.2304
2019-08-08,-0.8119
2019-08-09,0.8185
2019-08-12,0.0
2019-08-13,5.0
2019-08-14,2.6786
2019-08-15,4.4058
2019-08-16,-2.3876
2019-08-19,1.2514
2019-08-20,4.0449
2019-08-21,2.5918
2019-08-22,0.0
2019-08-23,6.4737
2019-08-26,16.5101
2019-08-27,-0.4243
2019-08-28,-5.9225
2019-08-29,3.4873
2019-08-30,-1.0941
2019-09-03,2.3673
2019-09-04,0.281
2019-09-05,-0.3879
2019-09-06,-2.9424
2019-09-09,0.0892
2019-09-10,0.4356
2019-09-11,-1.1212
2019-09-12,-0.8746
2019-09-13,0.724
2019-09-16,-4.4025
2019-09-18,-1.1278
2019-09-19,-3.5171
2019-09-20,-1.4778
2019-09-23,-3.1
2019-09-24,-3.9732
2019-09-25,0.9672
2019-09-26,-10.5907
2019-09-27,12.5
