ticker,FFWM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-04,-3.537
2014-11-05,3.0556
2014-11-06,0.0
2014-11-07,2.4259
2014-11-10,5.2632
2014-11-11,-7.5
2014-11-12,0.0
2014-11-13,0.0007
2014-11-14,2.403
2014-11-17,-1.7139
2014-11-18,0.1611
2014-11-19,-0.805
2014-11-20,-0.3237
2014-11-21,-0.2223
2014-11-24,-1.1848
2014-11-25,-0.1705
2014-11-26,4.584
2014-11-28,-3.0661
2014-12-01,1.9022000000000001
2014-12-02,0.2667
2014-12-03,-0.1064
2014-12-04,1.1715
2014-12-05,-0.2632
2014-12-08,-0.2639
2014-12-09,-0.2646
2014-12-10,-0.0822
2014-12-11,0.2947
2014-12-12,-0.4764
2014-12-15,-0.266
2014-12-16,-1.0667
2014-12-17,0.5391
2014-12-18,-0.8043
2014-12-19,0.0
2014-12-22,-0.8108
2014-12-23,-1.9074
2014-12-24,-0.8333
2014-12-26,0.8403
2014-12-29,0.1667
2014-12-30,0.3882
2014-12-31,0.221
2015-01-02,0.0
2015-01-05,-0.9923
2015-01-06,-0.8909
2015-01-07,0.5618
2015-01-08,0.0
2015-01-09,-0.1117
2015-01-12,0.2237
2015-01-13,-0.2232
2015-01-14,-0.0559
2015-01-15,-0.3358
2015-01-16,0.0561
2015-01-20,0.8923
2015-01-21,-1.2737
2015-01-22,0.3944
2015-01-23,0.404
2015-01-26,-0.2347
2015-01-27,-0.1681
2015-01-28,0.0
2015-01-29,0.3921
2015-01-30,-0.3906
2015-02-02,0.1122
2015-02-03,0.3363
2015-02-04,0.1117
2015-02-05,1.0045
2015-02-06,0.2762
2015-02-09,-1.0468
2015-02-10,0.0
2015-02-11,0.6125
2015-02-12,-0.3874
2015-02-17,-1.3333
2015-02-18,0.2984
2015-02-19,0.2077
2015-02-20,0.2241
2015-02-23,-0.6149
2015-02-24,0.8436
2015-02-25,-0.8924
2015-02-26,1.0129
2015-02-27,-0.0557
2015-03-02,-0.7804
2015-03-03,0.2809
2015-03-04,-0.2801
2015-03-05,-1.1236
2015-03-06,0.7955
2015-03-09,-0.2255
2015-03-10,-0.226
2015-03-11,0.7361
2015-03-12,2.8668
2015-03-13,0.2186
2015-03-16,-0.8179
2015-03-17,-0.3299
2015-03-18,1.7650000000000001
2015-03-19,-0.8672
2015-03-20,4.8114
2015-03-23,-0.2608
2015-03-24,1.4644
2015-03-25,0.5155
2015-03-26,1.2821
2015-03-27,-0.5063
2015-03-30,-0.7634
