ticker,ATPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-09-12,0.0
2002-10-03,0.0
2002-12-04,0.0
2002-12-05,0.0
2003-01-29,0.0
2003-02-04,0.0
2003-02-12,0.0
2003-07-24,233.3333
2003-07-28,-80.0
2003-08-04,0.0
2003-09-04,100.0
2003-09-10,3650.0
2003-09-12,0.0
2003-09-17,-97.3333
2003-09-26,12.5
2003-10-02,0.0
2003-10-17,122.2222
2004-04-13,160.0
2004-06-14,3765.3846
2004-09-10,-97.0149
2004-09-13,0.0
2004-11-11,6.6667
2004-11-15,-6.25
2004-11-16,-16.6667
2004-11-17,-20.0
2004-12-20,-35.0
2004-12-29,-7.6923
2005-02-17,0.0
2005-04-14,0.0
2005-05-11,0.0
2005-06-16,-16.6667
2005-07-01,0.0
2005-07-20,0.0
2005-08-11,-30.0
2005-08-16,114.2857
2005-08-25,-46.6667
2005-08-30,0.0
2005-09-22,-12.5
2005-11-16,0.0
2005-11-22,-28.5714
2005-12-29,0.0
2006-01-19,100.0
2006-01-30,-50.0
2006-02-09,0.0
2006-02-23,300.0
2006-02-24,-75.0
2006-05-08,0.0
2006-06-15,0.0
2006-07-19,389.75
2006-07-20,22.5115
2006-07-26,-33.3333
2006-07-28,-40.0
2006-07-31,-8.3333
2006-08-01,9.0909
2006-08-02,0.0
2006-08-04,0.0
2006-08-07,8.3333
2006-08-08,0.0
2006-08-09,0.0
2006-08-16,-7.6923
2006-08-17,8.3333
2006-08-22,-7.6923
2006-08-28,0.0
2006-08-30,0.0
2006-09-06,0.0
2006-09-08,0.0
2006-09-15,0.0
2006-09-22,8.3333
2006-09-26,0.0
2006-10-03,30.7692
2006-10-04,-35.2941
2006-10-05,0.0
2006-10-31,9.0909
2006-11-01,-8.3333
2006-11-07,127.2727
2006-11-08,-44.0
2006-11-09,3.5714
2006-11-10,0.0
2006-11-14,0.0
2006-11-17,24.1379
2006-11-20,-22.2222
2006-12-05,0.0
2006-12-07,0.0
2006-12-11,7.1429
2006-12-18,-6.6667
2006-12-20,0.0
2006-12-26,0.0
2006-12-28,0.0
2007-01-04,-28.5714
2007-01-11,-30.0
2007-01-29,85.7143
2007-01-30,0.0
2007-02-16,62.5
2007-03-01,-38.4615
2007-03-02,0.0
2007-03-06,62.5
2007-03-13,-38.4615
2007-03-16,125.0
2007-03-19,0.0
2007-03-20,0.0
2007-03-21,-16.6667
2007-04-13,-13.3333
2007-04-17,0.0
2007-04-19,0.0
2007-05-15,-7.6923
2007-05-16,0.0
