ticker,QURE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-05,-14.0588
2014-02-06,-8.2136
2014-02-07,10.2908
2014-02-10,5.2738
2014-02-11,1.8626
2014-02-12,1.0088
2014-02-13,0.7491
2014-02-14,-1.1772
2014-02-18,2.6332
2014-02-19,-0.733
2014-02-20,1.5385
2014-02-21,3.5758
2014-02-24,5.4125
2014-02-25,-0.7216
2014-02-26,0.9226
2014-02-27,-0.277
2014-02-28,-8.3333
2014-03-03,-3.7576
2014-03-04,-1.1965
2014-03-05,-1.9758
2014-03-06,-1.5605
2014-03-07,3.8308999999999997
2014-03-10,-3.0534
2014-03-11,-0.2625
2014-03-12,-1.9079000000000002
2014-03-13,3.2193
2014-03-14,-3.6387
2014-03-17,1.6183
2014-03-18,4.5786
2014-03-19,1.4594
2014-03-20,5.0289
2014-03-21,0.5113
2014-03-24,-4.1469
2014-03-25,0.5562
2014-03-26,-2.0897
2014-03-27,-2.0088
2014-03-28,-0.0641
2014-03-31,-0.1282
2014-04-01,0.5135
2014-04-02,3.129
2014-04-03,-2.291
2014-04-04,-2.1546
2014-04-07,-6.671
2014-04-08,-5.8987
2014-04-09,6.9322
2014-04-10,-5.0345
2014-04-11,-5.3014
2014-04-14,-7.9755
2014-04-15,-18.5
2014-04-16,-6.9018
2014-04-17,-1.1532
2014-04-21,-1.1111
2014-04-22,11.236
2014-04-23,-2.8283
2014-04-24,5.5094
2014-04-25,8.3744
2014-04-28,-5.0
2014-04-29,0.3828
2014-04-30,-2.0972
2014-05-01,5.9396
2014-05-02,-4.0441
2014-05-05,-3.8314
2014-05-06,-3.3865
2014-05-07,-1.7526000000000002
2014-05-08,-4.3022
2014-05-09,1.6447
2014-05-12,8.5221
2014-05-13,-4.3738
2014-05-14,3.3264
2014-05-15,-4.4266
2014-05-16,1.1579
2014-05-19,-1.2487
2014-05-20,-2.0021
2014-05-21,-7.2043
2014-05-22,0.5794
2014-05-23,0.3456
2014-05-27,-0.5741
2014-05-28,3.1178
2014-05-29,-0.6719
2014-05-30,-2.4803
2014-06-02,3.1214
2014-06-03,1.2332
2014-06-04,1.6611
2014-06-05,3.5948
2014-06-06,4.4164
2014-06-09,8.1571
2014-06-10,-0.6518
2014-06-11,1.4058
2014-06-12,0.647
2014-06-13,1.1019
2014-06-16,2.4523
2014-06-17,-3.9007
2014-06-18,7.9336
2014-06-19,3.4188
2014-06-20,4.9587
2014-06-23,-0.4724
2014-06-24,-4.3513
2014-06-25,-1.4061
