ticker,SWRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-21,0.0
2008-04-22,0.0
2008-04-23,-3.75
2008-04-24,-2.5974
2008-04-25,0.0
2008-05-01,0.0
2008-05-02,0.0
2008-05-05,6.6667
2008-05-07,-6.25
2008-05-08,6.6667
2008-05-12,-6.25
2008-05-14,0.0
2008-05-15,6.6667
2008-05-16,-3.75
2008-05-21,0.0
2008-05-22,3.8961
2008-05-28,-6.25
2008-05-29,0.0
2008-05-30,0.0
2008-06-03,6.6667
2008-06-10,0.0
2008-06-12,-6.25
2008-06-17,-2.6667
2008-06-20,-1.3699
2008-06-24,-9.7222
2008-06-25,0.0
2008-06-26,0.0
2008-06-30,-4.6154
2008-07-01,-12.9032
2008-07-02,-11.1111
2008-07-07,0.0
2008-07-08,-4.1667
2008-07-09,0.0
2008-07-10,-2.1739
2008-07-24,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-08-05,-2.2222
2008-08-07,6.8182
2008-08-12,-4.2553
2008-08-13,-2.2222
2008-08-14,-2.2727
2008-08-15,0.0
2008-08-19,0.0
2008-08-21,0.0
2008-08-25,-2.3256
2008-09-02,2.3810000000000002
2008-09-03,0.0
2008-09-11,-9.3023
2008-09-18,-2.5641
2008-09-19,-7.8947
2008-09-22,8.5714
2008-09-24,-5.2632
2008-10-01,-2.7778
2008-10-06,-5.7143
2008-10-08,9.0909
2008-10-09,-16.6667
2008-10-10,10.0
2008-10-13,-15.1515
2008-10-15,-14.2857
2008-10-16,8.3333
2008-10-17,7.6923
2008-10-20,-20.0
2008-10-23,-24.1071
2008-10-24,23.5294
2008-10-28,-33.3333
2008-10-30,-7.1429
2008-11-03,0.0
2008-11-04,0.0
2008-11-05,15.3846
2008-11-11,-20.0
2008-11-19,0.0
2008-11-20,16.6667
2008-11-21,0.0
2008-11-25,7.1429
2008-12-04,0.0
2008-12-08,-20.0
2008-12-09,0.0
2008-12-12,16.6667
2008-12-15,0.0
2008-12-24,-21.4286
2008-12-31,0.0
2009-01-12,0.0
2009-01-21,0.0
2009-02-09,0.0
2009-02-11,-36.3636
2009-02-25,0.0
2009-03-09,2.8571
2009-03-16,0.0
2009-03-18,38.8889
2009-03-19,-30.0
2009-03-20,42.8571
2009-03-23,0.0
2009-03-31,50.0
2009-04-02,0.0
2009-04-06,6.6667
2009-04-07,0.0
2009-04-09,0.0
2009-04-16,-6.25
2009-04-17,13.3333
2009-04-24,0.0
2009-05-04,0.0
2009-05-06,11.7647
2009-05-18,0.0
