ticker,KRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-08,7.8125
2003-12-09,-0.2899
2003-12-10,-2.3256
2003-12-11,-0.5952
2003-12-12,3.2934
2003-12-15,-0.5797
2003-12-16,2.3907
2003-12-17,1.6515
2003-12-18,2.409
2003-12-19,-2.1335
2003-12-22,0.6149
2003-12-23,10.1111
2003-12-24,2.4218
2003-12-26,3.4483
2003-12-29,18.0476
2003-12-30,-3.1464
2003-12-31,-7.5385
2004-01-02,4.5045
2004-01-05,-1.7241
2004-01-06,-2.5439
2004-01-07,2.3852
2004-01-08,5.6264
2004-01-09,4.2031
2004-01-12,-3.9137
2004-01-13,0.5819
2004-01-14,-0.4132
2004-01-15,0.8299
2004-01-16,6.5844000000000005
2004-01-20,0.3861
2004-01-21,-1.8846
2004-01-22,1.176
2004-01-23,0.155
2004-01-26,-4.1393
2004-01-27,1.3317
2004-01-28,-3.2656
2004-01-29,2.923
2004-01-30,2.36
2004-02-02,-0.7425
2004-02-03,3.5433
2004-02-04,-3.9544
2004-02-05,2.1378
2004-02-06,1.1628
2004-02-09,1.9157
2004-02-10,5.2632
2004-02-11,-1.4285999999999999
2004-02-12,0.5435
2004-02-13,0.9369
2004-02-17,2.1064
2004-02-18,-2.0979
2004-02-19,0.0
2004-02-20,-1.3929
2004-02-23,1.4125
2004-02-24,1.7856999999999998
2004-02-25,8.7368
2004-02-26,2.4524
2004-02-27,1.5748
2004-03-01,3.1008
2004-03-02,-2.8571
2004-03-03,-0.5882
2004-03-04,-0.4983
2004-03-05,0.1565
2004-03-08,2.5
2004-03-09,-4.1159
2004-03-10,-3.8462
2004-03-11,1.1667
2004-03-12,0.9555
2004-03-15,-2.0888
2004-03-16,1.3333
2004-03-17,2.0066
2004-03-18,-0.0322
2004-03-19,0.0645
2004-03-22,-1.6763
2004-03-23,-1.6066
2004-03-24,-3.6988
2004-03-25,-0.692
2004-03-26,-0.1742
2004-03-29,5.2356
2004-03-30,-0.7629
2004-03-31,1.2366
2004-04-01,2.0139
2004-04-02,2.6214
2004-04-05,4.0997
2004-04-06,-0.9997
2004-04-07,-1.7136
2004-04-08,-1.3075999999999999
2004-04-12,1.1672
2004-04-13,0.4054
2004-04-14,0.1553
2004-04-15,-0.3411
2004-04-16,1.1201
2004-04-19,-1.2308
2004-04-20,-0.3115
2004-04-21,0.9375
2004-04-22,2.1672
2004-04-23,-3.0
2004-04-26,-0.0312
2004-04-27,0.2188
2004-04-28,-0.2183
2004-04-29,-3.125
