ticker,MLORF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,2.7778
2000-01-06,95.6757
2000-01-11,-25.4144
2000-01-21,29.6296
2000-01-24,-6.3571
2000-02-09,15.942
2000-02-10,10.526299999999999
2000-02-15,-9.5238
2000-02-17,36.8421
2000-02-18,-3.8462
2000-02-21,0.0
2000-02-22,6.0
2000-02-23,-5.6604
2000-02-24,0.0
2000-02-29,-16.0
2000-03-02,4.7619
2000-03-06,0.0
2000-03-08,4.5455
2000-03-09,0.0
2000-03-10,-4.3478
2000-03-13,27.2727
2000-03-14,0.0
2000-03-16,-3.5714
2000-03-17,0.0
2000-03-28,-18.5185
2000-04-17,-22.7273
2000-04-18,-5.8824
2000-04-19,9.375
2000-04-24,-14.2857
2000-05-16,-13.3333
2000-05-30,-7.6923
2000-05-31,0.0
2000-06-15,10.5208
2000-06-26,1.7908
2000-06-27,29.6296
2000-06-29,-5.7143
2000-06-30,-21.2121
2000-07-18,-7.6923
2000-07-21,0.0
2000-07-26,8.3333
2000-08-08,23.0769
2000-08-09,0.0
2000-08-16,9.375
2000-08-28,5.1429
2000-08-30,14.1304
2000-08-31,19.0476
2000-09-05,-24.0
2000-09-08,0.0
2000-09-13,-5.2632
2000-09-18,-5.5556
2000-09-20,5.8824
2000-09-25,-5.5556
2000-10-03,-23.5294
2000-10-05,3.8462
2000-10-17,-22.2222
2000-10-19,-4.7619
2000-10-31,5.0
2000-11-20,-19.0476
2000-12-11,-52.9412
2000-12-14,0.0
2000-12-18,25.0
2000-12-19,-20.0
2000-12-20,0.0
2000-12-22,12.5
2000-12-25,0.0
2000-12-29,22.2222
2001-01-01,0.0
2001-01-05,0.0
2001-01-24,-9.0909
2001-02-12,20.0
2001-02-22,33.3333
2001-02-23,0.0
2001-03-07,-37.5
2001-03-09,10.0
2001-03-20,0.0
2001-03-21,0.0
2001-04-12,-9.0909
2001-04-16,-30.0
2001-04-17,0.0
2001-04-20,14.2857
2001-04-24,6.25
2001-05-01,88.2353
2001-05-03,-12.5
2001-05-04,7.1429
2001-05-07,26.6667
2001-05-08,-14.7368
2001-05-09,-7.4074
2001-05-10,14.6667
2001-05-11,10.4651
2001-05-14,-15.7895
2001-05-15,0.8594
2001-05-17,30.1317
2001-05-22,0.0
2001-05-23,-9.5238
2001-05-24,-15.7895
2001-05-29,7.5
2001-05-30,0.0
2001-05-31,-6.9767
2001-06-01,7.5
2001-06-04,-6.9767
2001-06-05,0.0
2001-06-08,18.75
