ticker,CCIHY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-01,95.3237
2010-10-04,0.7366
2010-10-05,0.0366
2010-10-06,-4.4225
2010-10-07,-7.7629
2010-10-08,-2.4461
2010-10-11,1.7850000000000001
2010-10-12,2.8392
2010-10-13,9.5412
2010-10-14,0.6857
2010-10-15,2.448
2010-10-18,-1.1139000000000001
2010-10-19,-5.3779
2010-10-20,-4.3395
2010-10-21,-5.6202
2010-10-22,0.1701
2010-10-25,6.242
2010-10-26,3.2574
2010-10-27,-4.0836
2010-10-28,0.6053
2010-10-29,-3.2336
2010-11-01,-1.7156
2010-11-02,-1.8979
2010-11-03,2.3216
2010-11-04,2.6471
2010-11-05,5.9763
2010-11-08,6.798
2010-11-09,5.9675
2010-11-10,1.3311
2010-11-11,10.4749
2010-11-12,-8.0183
2010-11-15,-6.8611
2010-11-16,-7.5445
2010-11-17,3.7336
2010-11-18,5.974
2010-11-19,8.1232
2010-11-22,1.4896
2010-11-23,-3.6056
2010-11-24,1.2248
2010-11-26,-0.1308
2010-11-29,-4.3877
2010-11-30,-5.1370000000000005
2010-12-01,4.1155
2010-12-02,-1.1442
2010-12-03,-3.1919
2010-12-06,1.3043
2010-12-07,-0.5007
2010-12-08,-4.7088
2010-12-09,-3.6967
2010-12-10,-0.9009
2010-12-13,-4.585
2010-12-14,-9.8177
2010-12-15,5.2366
2010-12-16,-3.1864
2010-12-17,5.2299
2010-12-20,-2.5278
2010-12-21,-1.8901
2010-12-22,-1.7915999999999999
2010-12-23,-2.8289999999999997
2010-12-27,5.5869
2010-12-28,-4.2241
2010-12-29,-3.4819
2010-12-30,2.6455
2010-12-31,-2.5305
2011-01-03,3.4135
2011-01-04,1.5342
2011-01-05,8.3791
2011-01-06,-1.1829
2011-01-07,-1.2398
2011-01-10,-5.671
2011-01-11,-2.2487
2011-01-12,-0.892
2011-01-13,-0.8527
2011-01-14,-0.4778
2011-01-18,-0.7201
2011-01-19,3.7234
2011-01-20,-0.6993
2011-01-21,3.8498
2011-01-24,4.6564
2011-01-25,1.2527
2011-01-26,-3.3703
2011-01-27,0.4415
2011-01-28,-0.8352
2011-01-31,-2.2207
2011-02-01,-0.5395
2011-02-02,1.0027
2011-02-03,0.0451
2011-02-04,-2.1651
2011-02-07,-2.3974
2011-02-08,-2.6925
2011-02-09,-2.3301
2011-02-10,-13.0716
2011-02-11,-2.0011
2011-02-14,1.1435
2011-02-15,-2.0535
2011-02-16,-0.4711
2011-02-17,1.4201
