ticker,NXCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-09,-6.6667
2004-01-13,-28.5714
2004-01-15,50.0
2004-01-16,-26.6667
2004-01-22,36.3636
2004-01-26,-33.3333
2004-01-29,50.0
2004-02-04,-16.6667
2004-02-09,40.0
2004-02-25,0.0
2004-03-01,42.8571
2004-03-10,-40.0
2004-03-25,33.3333
2004-04-14,37.5
2004-07-14,354.5455
2004-07-19,-12.0
2004-07-21,15.0
2004-08-04,-11.0672
2004-08-12,-6.6667
2004-08-13,7.1429
2004-08-23,-8.8889
2004-08-25,-2.439
2004-08-31,0.0
2004-09-09,0.0
2004-09-10,2.5
2004-09-22,-26.8293
2004-10-04,3.3333
2004-11-08,12.9032
2004-11-24,0.0
2004-12-07,-2.8571
2004-12-10,-17.647100000000002
2004-12-15,25.0
2004-12-20,-39.4286
2004-12-29,88.6792
2004-12-30,0.0
2004-12-31,50.0
2005-01-03,-8.3333
2005-01-11,-26.9091
2005-01-20,49.2537
2005-01-21,-31.6667
2005-02-10,-7.3171
2005-02-18,5.7895
2005-02-23,6.9652
2005-02-28,39.5349
2005-03-01,33.3333
2005-03-24,0.0
2005-04-05,-18.75
2005-04-15,-6.1538
2005-06-09,-1.6393
2005-06-13,-8.3333
2005-06-22,1.8182
2005-06-24,-1.7856999999999998
2005-06-27,-16.3636
2005-06-29,19.5652
2005-06-30,27.2727
2005-07-15,12.857099999999999
2005-07-29,7.5949
2005-08-17,-28.2353
2005-09-15,-1.6393
2005-09-21,-16.6667
2005-09-30,30.0
2005-10-14,-23.0769
2005-10-26,-10.0
2005-10-27,0.0
2005-11-28,-6.6667
2005-12-09,-16.6667
2005-12-14,5.7143
2005-12-15,5.4054
2005-12-16,10.2564
2005-12-28,39.5349
2005-12-29,35.0
2005-12-30,11.1111
2006-01-03,0.0
2006-01-12,-44.4444
2006-01-31,20.0
2006-02-21,26.6667
2006-02-22,-47.3684
2006-03-07,50.0
2006-04-12,0.0
2006-05-09,0.0
2006-05-10,1.6667
2006-05-11,0.0
2006-05-12,-3.2787
2006-05-15,0.0
2006-05-17,6.7797
2006-05-24,0.0
2006-05-31,-1.5873
2006-06-05,-27.4194
2006-06-14,0.0
2006-07-14,44.4444
2006-07-31,-38.4615
2006-09-19,50.0
2006-10-02,33.3333
2006-10-09,-43.75
2006-10-12,0.0
2006-10-16,-26.6667
2006-10-17,0.0
2006-11-10,9.0909
2006-11-15,-16.6667
2006-11-20,10.0
2006-11-29,-3.0303
2006-11-30,15.625
