ticker,FET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-12,8.75
2012-04-13,-1.1494
2012-04-16,1.1163
2012-04-17,2.3459
2012-04-18,-2.4718999999999998
2012-04-19,1.1982
2012-04-20,0.4098
2012-04-23,-0.1814
2012-04-24,-1.5901999999999998
2012-04-25,-0.9695
2012-04-26,1.6317
2012-04-27,2.5229
2012-04-30,3.4452
2012-05-01,-0.1298
2012-05-02,0.8662
2012-05-03,-0.9017
2012-05-04,-1.2565
2012-05-07,-0.2633
2012-05-08,-2.3317
2012-05-09,-0.9459
2012-05-10,-0.6367
2012-05-11,-0.4119
2012-05-14,-0.9191
2012-05-15,-0.2319
2012-05-16,-0.3719
2012-05-17,-2.0065
2012-05-18,-0.381
2012-05-21,3.4417
2012-05-22,0.3697
2012-05-23,-1.7495
2012-05-24,0.1406
2012-05-25,0.0468
2012-05-29,3.4144
2012-05-30,-2.3066
2012-05-31,-0.5556
2012-06-01,-2.095
2012-06-04,-4.5649
2012-06-05,-0.3986
2012-06-06,0.05
2012-06-07,3.75
2012-06-08,0.3855
2012-06-11,-3.9846
2012-06-12,-0.1
2012-06-13,-0.3003
2012-06-14,0.7028
2012-06-15,0.0997
2012-06-18,1.992
2012-06-19,1.416
2012-06-20,-0.9148
2012-06-21,-3.8387000000000002
2012-06-22,0.5053
2012-06-25,-1.0558
2012-06-26,-2.185
2012-06-27,-0.5714
2012-06-28,0.8882
2012-06-29,1.9679
2012-07-02,-0.1524
2012-07-03,4.2726
2012-07-05,-0.3415
2012-07-06,-2.0558
2012-07-09,1.4493
2012-07-10,-3.4483
2012-07-11,0.1531
2012-07-12,-1.1207
2012-07-13,2.1638
2012-07-16,-1.3616
2012-07-17,0.0
2012-07-18,-0.5624
2012-07-19,0.7198
2012-07-20,1.0209
2012-07-23,-0.2021
2012-07-24,-1.8734
2012-07-25,0.7224
2012-07-26,6.5574
2012-07-27,-1.7788
2012-07-30,0.8321
2012-07-31,1.165
2012-08-01,1.2955999999999999
2012-08-02,-0.5211
2012-08-03,3.7143
2012-08-06,1.4233
2012-08-07,-0.3169
2012-08-08,-0.3179
2012-08-09,-2.4601
2012-08-10,1.2144
2012-08-13,-0.1384
2012-08-14,1.9870999999999999
2012-08-15,0.8609
2012-08-16,0.6289
2012-08-17,2.2321
2012-08-20,-0.4367
2012-08-21,-0.8333
2012-08-22,-3.0517
2012-08-23,1.0036
2012-08-24,3.794
2012-08-27,-0.6092
2012-08-28,2.5394
2012-08-29,0.5124
