ticker,OCTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,16.6667
2012-10-15,-12.857099999999999
2012-10-31,1.6393
2012-11-06,1.6129
2012-11-07,-1.5873
2012-11-08,1.6129
2012-11-09,11.1111
2012-11-14,-8.0
2012-11-26,-2.1739
2012-12-14,0.0
2012-12-17,0.0
2012-12-28,0.0
2012-12-31,4.7619
2013-02-21,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-28,-1.5152
2013-03-05,4.6154
2013-03-06,0.0
2013-03-07,-2.9412000000000003
2013-03-08,0.0
2013-03-11,18.1818
2013-03-12,15.641
2013-03-13,9.7561
2013-03-14,11.1111
2013-03-15,4.9091000000000005
2013-03-18,6.7591
2013-03-19,-3.0844
2013-03-20,3.0151
2013-03-21,-0.813
2013-03-22,-3.2787
2013-03-25,3.2203
2013-03-26,3.4483
2013-03-27,0.7937
2013-03-28,3.9370000000000003
2013-04-01,1.8182
2013-04-02,3.7202
2013-04-03,6.8867
2013-04-04,2.953
2013-04-05,1.043
2013-04-08,1.4194
2013-04-09,1.3995
2013-04-10,2.2585
2013-04-11,1.3497
2013-04-12,4.8426
2013-04-15,-2.8868
2013-04-16,5.8264
2013-04-17,5.5056
2013-04-18,-3.0884
2013-04-19,-31.7582
2013-04-22,-16.5862
2013-04-23,-1.5444
2013-04-24,22.9412
2013-04-25,16.9059
2013-04-26,-3.1378
2013-04-29,0.0
2013-04-30,-2.5352
2013-05-01,-10.6936
2013-05-02,1.7799
2013-05-03,3.6566
2013-05-06,8.589
2013-05-07,3.5311
2013-05-08,0.2729
2013-05-09,8.9796
2013-05-10,7.99
2013-05-13,0.1156
2013-05-14,-2.194
2013-05-15,-7.9103
2013-05-16,-0.2564
2013-05-17,0.6427
2013-05-20,1.4049
2013-05-21,0.5038
2013-05-22,-0.3759
2013-05-23,-2.7673
2013-05-24,-1.6818
2013-05-28,-5.2632
2013-05-29,-2.7778
2013-05-30,-7.2857
2013-05-31,-2.9276
2013-06-03,3.9683
2013-06-04,0.458
2013-06-05,-0.6079
2013-06-06,-4.4343
2013-06-07,-1.12
2013-06-10,-1.1327
2013-06-11,0.3273
2013-06-12,1.9576
2013-06-13,-1.92
2013-06-14,1.9576
2013-06-17,-0.32
2013-06-18,-14.9278
2013-06-19,-4.717
2013-06-20,1.7822
2013-06-21,-1.751
2013-06-24,0.0
2013-06-25,-4.5545
2013-06-26,-11.2033
