ticker,ARCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-05,0.1333
2004-10-06,-0.1332
2004-10-07,1.0
2004-10-08,0.9901
2004-10-11,0.3268
2004-10-12,-0.6515
2004-10-13,0.3279
2004-10-14,-1.2418
2004-10-15,0.2647
2004-10-18,1.3860999999999999
2004-10-19,-0.0651
2004-10-20,0.1954
2004-10-21,-0.5202
2004-10-22,-0.3922
2004-10-25,-0.2625
2004-10-26,-0.6579
2004-10-27,0.6623
2004-10-28,-0.3289
2004-10-29,0.0
2004-11-01,0.0
2004-11-02,0.6601
2004-11-03,0.3279
2004-11-04,0.0
2004-11-05,0.6536
2004-11-08,-1.8182
2004-11-09,-0.1323
2004-11-10,0.7947
2004-11-11,0.5913
2004-11-12,-0.3266
2004-11-15,4.8493
2004-11-16,1.4375
2004-11-17,3.2039
2004-11-18,0.597
2004-11-19,2.9674
2004-11-22,2.7089
2004-11-23,0.3928
2004-11-24,-0.5031
2004-11-26,0.3933
2004-11-29,-1.1752
2004-11-30,2.2084
2004-12-01,1.1634
2004-12-02,0.4929
2004-12-03,2.1798
2004-12-06,-1.92
2004-12-07,1.5769
2004-12-08,0.5353
2004-12-09,-0.1597
2004-12-10,0.0
2004-12-13,1.5467
2004-12-14,2.9412000000000003
2004-12-15,-2.2449
2004-12-16,-4.0188
2004-12-17,-0.7613
2004-12-20,1.3699
2004-12-21,1.6216
2004-12-22,3.0319
2004-12-23,-0.3671
2004-12-27,2.2105
2004-12-28,1.1329
2004-12-29,-0.3564
2004-12-30,-0.8687
2004-12-31,0.1546
2005-01-03,-3.9629
2005-01-04,0.4287
2005-01-05,-1.6009
2005-01-06,-2.3861
2005-01-07,1.9444
2005-01-10,-1.3624
2005-01-11,0.8287
2005-01-12,-1.3699
2005-01-13,0.1111
2005-01-14,0.9989
2005-01-18,0.5495
2005-01-19,-1.0929
2005-01-20,0.8287
2005-01-21,-0.7123
2005-01-24,0.2759
2005-01-25,-0.4403
2005-01-26,1.0227
2005-01-27,-2.8728
2005-01-28,1.1268
2005-01-31,0.8357
2005-02-01,1.5470000000000002
2005-02-02,0.272
2005-02-03,0.6511
2005-02-04,-0.9704
2005-02-07,-2.7218
2005-02-08,0.4477
2005-02-09,-0.5571
2005-02-10,1.9607999999999999
2005-02-11,-1.0989
2005-02-14,-0.0556
2005-02-15,-1.2785
2005-02-16,-0.6194
2005-02-17,-1.5864
2005-02-18,-1.7271
2005-02-22,-1.4060000000000001
2005-02-23,-2.4361
