ticker,JRJC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-15,-10.0
2004-10-18,-14.1026
2004-10-19,18.1095
2004-10-20,-6.9082
2004-10-21,-1.81
2004-10-22,-0.47
2004-10-25,-0.4537
2004-10-26,-7.814
2004-10-27,2.9263
2004-10-28,-11.2843
2004-10-29,-4.4093
2004-11-01,-3.1214
2004-11-02,11.5752
2004-11-03,2.1390000000000002
2004-11-04,5.5497
2004-11-05,1.1905000000000001
2004-11-08,3.6275
2004-11-09,5.0142
2004-11-10,12.1622
2004-11-11,-5.2209
2004-11-12,8.0508
2004-11-15,-4.0784
2004-11-16,-5.8054
2004-11-17,-5.3819
2004-11-18,4.4037
2004-11-19,-1.9332
2004-11-22,5.8244
2004-11-23,-0.508
2004-11-24,-2.9787
2004-11-26,-0.3509
2004-11-29,1.7694
2004-11-30,7.2572
2004-12-01,-4.0323
2004-12-02,11.3445
2004-12-03,-2.1887
2004-12-06,10.108
2004-12-07,-6.5172
2004-12-08,-7.2714
2004-12-09,2.3444
2004-12-10,-0.9479
2004-12-13,2.4721
2004-12-14,1.8677000000000001
2004-12-15,-0.6112
2004-12-16,-6.9178
2004-12-17,-11.4038
2004-12-20,-5.3034
2004-12-21,5.1181
2004-12-22,-0.0936
2004-12-23,-0.1874
2004-12-27,-2.5446
2004-12-28,0.395
2004-12-29,1.2476
2004-12-30,3.8863
2004-12-31,0.5474
2005-01-03,-4.8094
2005-01-04,-2.5739
2005-01-05,2.544
2005-01-06,-2.1469
2005-01-07,-3.8518
2005-01-10,-2.1298
2005-01-11,-5.0777
2005-01-12,-0.655
2005-01-13,-1.5385
2005-01-14,1.5625
2005-01-18,1.0989
2005-01-19,-0.5435
2005-01-20,-4.3716
2005-01-21,-2.7429
2005-01-24,-3.9835000000000003
2005-01-25,4.0264
2005-01-26,-0.2353
2005-01-27,10.8491
2005-01-28,9.3617
2005-01-31,-0.0973
2005-02-01,-5.0633
2005-02-02,-2.1538
2005-02-03,-2.7254
2005-02-04,2.2629
2005-02-07,-1.5806
2005-02-08,-2.7944
2005-02-09,1.8725
2005-02-10,0.7677
2005-02-11,-22.8541
2005-02-14,-5.4242
2005-02-15,0.0
2005-02-16,-0.7353
2005-02-17,1.037
2005-02-18,-3.6657
2005-02-22,1.3546
2005-02-23,-0.886
2005-02-24,2.8788
2005-02-25,10.4566
2005-02-28,-5.8667
2005-03-01,5.5241
2005-03-02,-7.2483
2005-03-03,3.6324
2005-03-04,-1.8294000000000001
