ticker,EMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-10,0.1
2011-06-13,0.3996
2011-06-14,-0.2488
2011-06-15,-0.0998
2011-06-16,0.3495
2011-06-17,-0.3483
2011-06-20,0.8487
2011-06-21,0.396
2011-06-22,0.0986
2011-06-23,-0.7389
2011-06-24,0.6452
2011-06-27,-0.8876
2011-06-28,0.4975
2011-06-29,-0.099
2011-06-30,0.2112
2011-07-01,-0.3591
2011-07-05,0.0
2011-07-06,0.1985
2011-07-07,0.4953
2011-07-08,-1.38
2011-07-11,-0.05
2011-07-12,0.25
2011-07-13,-0.2494
2011-07-14,0.0
2011-07-15,0.0
2011-07-18,0.15
2011-07-19,-0.1498
2011-07-20,0.0925
2011-07-21,0.1574
2011-07-22,-0.1496
2011-07-25,-1.2488
2011-07-26,-1.214
2011-07-27,6.554
2011-07-28,-4.0039
2011-07-29,0.1526
2011-08-01,0.9142
2011-08-02,-1.3588
2011-08-03,0.5102
2011-08-04,-4.2132
2011-08-05,-3.1797
2011-08-08,-7.2195
2011-08-09,4.2357
2011-08-10,4.7032
2011-08-11,0.7027
2011-08-12,1.1541
2011-08-15,-0.2919
2011-08-16,-0.0532
2011-08-17,-0.9585
2011-08-18,0.0
2011-08-19,-2.3118
2011-08-22,-0.8806
2011-08-23,-0.2776
2011-08-24,-0.3898
2011-08-25,-2.0682
2011-08-26,0.2283
2011-08-29,5.5239
2011-08-30,0.9714
2011-08-31,1.5319
2011-09-01,-0.7192
2011-09-02,1.7497
2011-09-06,-2.1365
2011-09-07,-2.5559
2011-09-08,0.1639
2011-09-09,-0.2182
2011-09-12,-0.8201
2011-09-13,-0.6064
2011-09-14,-0.3882
2011-09-15,0.1114
2011-09-16,0.2781
2011-09-19,0.1109
2011-09-20,0.3878
2011-09-21,-0.6071
2011-09-22,-1.0706
2011-09-23,-1.6511
2011-09-26,-0.3025
2011-09-27,-3.8344
2011-09-28,0.5945
2011-09-29,0.4142
2011-09-30,-2.1803
2011-10-03,-4.0964
2011-10-04,-0.0126
2011-10-05,2.5883000000000003
2011-10-06,6.1237
2011-10-07,-0.981
2011-10-10,0.9907
2011-10-11,1.558
2011-10-12,2.2904999999999998
2011-10-13,-2.5169
2011-10-14,1.4245
2011-10-17,0.8989
2011-10-18,1.5924
2011-10-19,-0.6358
2011-10-20,-0.8825
2011-10-21,-0.6121
2011-10-24,1.6237
2011-10-25,-0.6612
2011-10-26,0.9817
2011-10-27,-0.4778
2011-10-28,1.5453000000000001
