ticker,SBES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-08,433.3333
2015-04-09,0.0
2015-04-10,-1.25
2015-04-14,1.2658
2015-04-15,-15.0
2015-04-16,2.9412000000000003
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,14.2857
2015-04-22,0.0
2015-04-23,-6.25
2015-04-24,0.0
2015-04-27,0.0
2015-04-28,-6.6667
2015-04-29,0.0179
2015-05-01,-4.3028
2015-05-06,1.4925
2015-05-07,0.0
2015-05-08,-10.2941
2015-05-11,0.0
2015-05-12,6.5574
2015-05-13,-6.1538
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,6.5574
2015-05-19,1.9231
2015-05-20,5.6604
2015-05-21,0.0
2015-05-22,3.5714
2015-05-26,-0.6897
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,1.3889
2015-06-01,-0.6849
2015-06-02,0.6897
2015-06-03,2.7397
2015-06-04,1.3333
2015-06-05,1.3158
2015-06-08,4.6753
2015-06-09,0.4963
2015-06-10,0.0
2015-06-11,-1.2346
2015-06-12,-3.75
2015-06-15,3.8961
2015-06-16,2.5
2015-06-17,-1.2348
2015-06-18,-7.3931000000000004
2015-06-19,4.0
2015-06-22,6.2821
2015-06-23,-3.4981999999999998
2015-06-24,2.5
2015-06-25,-3.6585
2015-06-26,2.5316
2015-06-29,-18.2716
2015-06-30,-9.8376
2015-07-01,-0.6702
2015-07-02,-5.545
2015-07-06,-3.5714
2015-07-07,0.0
2015-07-08,-16.6667
2015-07-09,0.0
2015-07-13,10.6667
2015-07-14,-1.6064
2015-07-15,-4.0816
2015-07-16,-25.5319
2015-07-20,14.2857
2015-07-21,0.0
2015-07-22,-3.0
2015-07-23,-7.2165
2015-07-24,11.1111
2015-07-27,-7.2344
2015-07-28,13.1885
2015-07-29,-4.7321
2015-07-30,9.9656
2015-07-31,-4.5597
2015-08-03,0.0149
2015-08-04,-7.1726
2015-08-05,-2.5329
2015-08-06,10.526299999999999
2015-08-07,-1.4583
2015-08-10,-37.1791
2015-08-11,-34.6154
2015-08-12,76.4706
2015-08-13,-22.3333
2015-08-14,15.0215
2015-08-17,-7.4627
2015-08-18,-7.2581
2015-08-19,26.087
2015-08-20,-27.4138
2015-08-21,42.5178
2015-08-24,6.6667
2015-08-25,-0.0391
2015-08-26,-14.1462
2015-08-27,-1.6841
2015-08-28,-3.0093
2015-08-31,14.5585
2015-09-01,-3.3333
2015-09-02,-13.7931
2015-09-03,0.0
2015-09-04,-12.05
