ticker,TOGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-12,-66.0
2007-08-16,-21.5686
2007-09-19,325.0
2008-02-11,-76.4706
2008-02-12,-50.0
2008-03-06,100.0
2008-03-11,-26.5
2008-03-27,-65.9864
2008-04-28,80.0
2008-12-02,0.0
2009-04-27,-33.3333
2009-07-21,0.0
2009-09-24,0.0
2009-11-20,-83.3333
2010-08-02,-94.2857
2011-04-07,6566.6667
2011-05-25,0.0
2011-10-26,-12.5
2011-12-19,414.2857
2011-12-20,11.2222
2012-04-27,-70.03
2012-04-30,233.6667
2014-08-06,-70.03
2014-12-08,0.0
2015-04-27,0.0
2015-07-30,-33.3333
2015-08-10,25.0
2015-08-18,20.0
2015-11-25,-40.6667
2015-12-31,-43.8202
2016-01-06,-25.0
2016-01-14,-66.6667
2016-01-20,-16.0
2016-01-21,-28.5714
2016-01-22,-33.3333
2016-02-18,100.0
2016-03-15,0.0
2016-03-23,-36.0
2016-03-24,298.4375
2016-03-30,-60.7843
2016-03-31,-25.0
2016-05-13,51.3333
2016-05-16,124.6696
2016-05-18,0.0
2016-06-28,-58.8235
2016-07-27,161.9048
2016-08-17,-45.4545
2016-12-15,150.0
2016-12-20,-6.6667
2016-12-22,14.2857
2016-12-28,3.125
2016-12-29,24.8485
2017-01-11,-27.1845
2017-01-13,29.3333
2017-01-23,-48.4536
2017-01-25,38.0
2017-01-26,88.4058
2017-02-10,7.6923
2017-02-15,-64.2857
2017-02-17,274.0
2017-02-21,-1.0695000000000001
2017-04-11,-36.2162
2017-04-13,69.4915
2017-04-17,-50.0
2017-04-18,30.0
2017-04-19,0.0
2017-04-24,-23.0769
2017-04-25,110.0
2017-04-26,-2.3810000000000002
2017-05-12,-17.0732
2017-05-15,5.8824
2017-05-30,-30.0
2017-06-02,0.0
2017-06-05,57.9365
2017-06-07,8.0402
2017-06-08,0.0
2017-06-23,-39.5349
2017-06-26,53.0769
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,2.0101
2017-06-30,-1.4778
2017-07-07,0.0
2017-07-10,2.5
2017-07-11,0.0
2017-07-12,-0.9756
2017-07-17,-0.4926
2017-07-18,11.3861
2017-07-19,0.0
2017-07-21,28.8889
2017-07-24,244.8276
2017-07-25,-79.5
2017-07-26,241.4634
2017-07-27,-32.2857
2017-07-31,-56.1181
2017-08-01,68.2692
2017-08-02,-41.4286
2017-08-03,-49.268299999999996
2017-08-04,97.1154
2017-08-11,16.0976
2017-08-14,11.7647
2017-08-15,12.782
