ticker,ABTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-08,10.0952
2015-10-09,-2.5952
2015-10-12,-1.421
2015-10-13,0.4505
2015-10-14,0.2242
2015-10-15,-0.1342
2015-10-16,0.8065
2015-10-19,0.0
2015-10-20,-0.4889
2015-10-21,-0.268
2015-10-22,-0.7613
2015-10-23,0.0451
2015-10-26,0.0631
2015-10-27,-0.3781
2015-10-28,1.4926
2015-10-29,5.6621
2015-10-30,-2.1941
2015-11-02,1.6393
2015-11-03,-0.7216
2015-11-04,-0.4874
2015-11-05,-0.1117
2015-11-06,2.4516
2015-11-09,-3.0647
2015-11-10,2.6418
2015-11-11,0.9705
2015-11-12,-0.188
2015-11-13,-0.5443
2015-11-16,-5.3673
2015-11-17,0.7117
2015-11-18,0.4859
2015-11-19,-1.0989
2015-11-20,0.4444
2015-11-23,4.2478
2015-11-24,0.2971
2015-11-25,3.6183
2015-11-27,-1.0823
2015-11-30,0.1652
2015-12-01,0.8656
2015-12-02,-1.9202
2015-12-03,0.3161
2015-12-04,0.2671
2015-12-07,1.8628
2015-12-08,6.7914
2015-12-09,-3.5034
2015-12-10,-3.8674
2015-12-11,-0.8621
2015-12-14,-2.3602
2015-12-15,0.8482
2015-12-16,-0.1051
2015-12-17,0.9893
2015-12-18,-5.0438
2015-12-21,4.1264
2015-12-22,0.7589
2015-12-23,-0.9205
2015-12-24,-1.098
2015-12-28,-1.1529
2015-12-29,1.5119
2015-12-30,1.4894
2015-12-31,-0.8386
2016-01-04,-3.5518
2016-01-05,2.9373
2016-01-06,-2.0017
2016-01-07,-2.651
2016-01-08,-0.625
2016-01-11,-0.2695
2016-01-12,-4.1441
2016-01-13,-1.5038
2016-01-14,-0.6679
2016-01-15,-0.3842
2016-01-19,-5.2073
2016-01-20,-1.6277
2016-01-21,-5.4292
2016-01-22,-2.9524
2016-01-25,-5.8027999999999995
2016-01-26,2.512
2016-01-27,-2.1004
2016-01-28,0.8939
2016-01-29,9.5688
2016-02-01,6.5768
2016-02-02,-5.0582
2016-02-03,1.1721
2016-02-04,1.3691
2016-02-05,-1.3506
2016-02-08,-0.2633
2016-02-09,-2.9039
2016-02-10,-10.2229
2016-02-11,-0.9085
2016-02-12,5.1345
2016-02-16,6.1047
2016-02-17,-1.0411
2016-02-18,-6.1462
2016-02-19,2.4779
2016-02-22,-1.0937999999999999
2016-02-23,0.8731
2016-02-24,0.5193
2016-02-25,0.4592
2016-02-26,0.6286
2016-02-29,-1.9875
