ticker,NWWTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-29,43.75
2014-11-04,-4.3478
2014-11-25,0.0
2014-12-08,-18.5511
2014-12-18,-16.2888
2014-12-22,-14.125
2015-02-03,-6.065
2015-02-20,-27.531
2015-03-19,49.9644
2015-03-20,-1.5209000000000001
2015-03-30,0.2896
2015-04-29,-32.3388
2015-06-10,3.5562
2015-06-17,-28.7088
2015-06-18,14.3545
2015-06-29,-2.9486
2015-07-23,-20.1389
2015-08-13,-33.587
2015-09-11,-10.9656
2015-09-23,17.647100000000002
2015-10-20,-70.9375
2015-10-26,-13.9785
2015-11-02,71.875
2015-11-04,50.5455
2018-05-31,-96.1353
2018-12-18,-90.0
2019-04-05,100.0
2019-05-23,-50.0
2019-11-26,200.0
2020-03-05,66.6667
2020-03-25,-20.0
