ticker,JRVR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-12,1.1905000000000001
2014-12-15,-3.4353
2014-12-16,3.0702
2014-12-17,0.0946
2014-12-18,-0.2834
2014-12-19,5.1161
2014-12-22,3.2447
2014-12-23,-2.0079
2014-12-24,0.7572
2014-12-26,1.061
2014-12-29,-0.2625
2014-12-30,-0.8333
2014-12-31,0.6634
2015-01-02,-2.109
2015-01-05,2.4237
2015-01-06,-1.0955
2015-01-07,0.7975
2015-01-08,0.5714
2015-01-09,1.1364
2015-01-12,-0.7779
2015-01-13,-2.5261
2015-01-14,0.4915
2015-01-15,-0.4446
2015-01-16,-1.0719
2015-01-20,0.9932
2015-01-21,-0.3576
2015-01-22,-1.7048
2015-01-23,-1.4605000000000001
2015-01-26,-0.0926
2015-01-27,0.3245
2015-01-28,1.3862999999999999
2015-01-29,-1.9599
2015-01-30,-0.5114
2015-02-02,2.4766
2015-02-03,-1.2768
2015-02-04,1.6166
2015-02-05,-1.8636
2015-02-06,0.0463
2015-02-09,-2.3611
2015-02-10,0.569
2015-02-11,-0.9901
2015-02-12,1.2381
2015-02-13,1.3641
2015-02-17,1.4849
2015-02-18,0.4115
2015-02-19,-0.592
2015-02-20,-0.0458
2015-02-23,1.3749
2015-02-24,1.2658
2015-02-25,-1.0714
2015-02-26,0.4513
2015-02-27,-1.3028
2015-03-02,1.5476
2015-03-03,-0.762
2015-03-04,3.8844
2015-03-05,-1.2174
2015-03-06,-2.993
2015-03-09,0.2269
2015-03-10,-0.8601
2015-03-11,0.3653
2015-03-12,4.2766
2015-03-13,-0.1318
2015-03-16,1.1879
2015-03-17,0.913
2015-03-18,-0.3447
2015-03-19,-0.562
2015-03-20,4.7826
2015-03-23,1.6183
2015-03-24,-0.8167
2015-03-25,-3.1289
2015-03-26,-4.8449
2015-03-27,0.8039
2015-03-30,2.747
2015-03-31,1.4661
2015-04-01,0.51
2015-04-02,0.7611
2015-04-06,0.9232
2015-04-07,-1.7048
2015-04-08,-1.9459
2015-04-09,-0.604
2015-04-10,1.3455
2015-04-13,2.1413
2015-04-14,0.5451
2015-04-15,0.2085
2015-04-16,0.2913
2015-04-17,-1.9917
2015-04-20,1.8628
2015-04-21,-1.7456
2015-04-22,-0.5499
2015-04-23,2.0842
2015-04-24,-1.1667
2015-04-27,-0.2951
2015-04-28,-0.1268
2015-04-29,-0.2117
2015-04-30,0.297
2015-05-01,0.5076
2015-05-04,0.3788
2015-05-05,1.9706000000000001
2015-05-06,-0.2467
