ticker,URAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-11,-13.7931
2015-09-14,-80.0
2015-09-18,20.0
2015-09-21,1383.3333
2015-09-22,-10.1124
2015-09-30,-77.5
2015-10-01,-61.1111
2015-10-05,100.0
2015-10-06,0.0
2015-10-07,-14.2857
2015-10-08,8.3333
2015-10-09,30.7692
2015-10-12,-11.7647
2015-10-13,0.0
2015-10-14,-46.6667
2015-10-15,-25.0
2015-10-16,233.3333
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-26,-0.0625
2015-10-28,0.0625
2015-10-30,0.0
2015-11-02,-35.0
2015-11-03,53.8462
2015-11-05,-24.9688
2015-11-06,-0.0416
2015-11-11,-26.6667
2015-11-16,-81.8182
2015-11-17,150.0
2015-11-18,100.0
2015-11-19,10.0
2015-11-20,0.0
2015-11-23,-9.0909
2015-12-01,0.0
2015-12-02,-77.875
2015-12-03,238.9831
2015-12-04,-41.3333
2015-12-07,-9.0909
2015-12-08,-44.6875
2015-12-09,80.791
2015-12-10,0.0
2015-12-11,50.0
2015-12-14,-63.125
2015-12-15,3.9548
2015-12-16,73.913
2015-12-17,0.0
2015-12-18,-2.5
2015-12-22,-39.7436
2015-12-23,27.6596
2015-12-24,-33.3333
2015-12-28,150.0
2015-12-29,0.0
2015-12-30,-19.625
2016-01-04,24.4168
2016-01-06,60.0
2016-01-07,0.0
2016-01-19,-12.5
2016-01-22,10.0
2016-01-25,-35.0649
2016-01-26,0.0
2016-01-27,50.0
2016-01-28,-33.3333
2016-02-03,50.0
2016-02-08,-33.1667
2016-02-09,49.6259
2016-02-17,0.0
2016-03-02,46.6667
2016-03-04,-94.8864
2016-03-08,7008.8889
2016-03-09,-2.4695
2016-03-10,-61.5385
2016-03-11,-53.3333
2016-03-14,114.2857
2016-03-15,0.0
2016-03-16,-13.3333
2016-03-17,15.3846
2016-03-21,0.0
2016-03-28,0.0
2016-03-30,-20.0
2016-04-04,-16.6667
2016-04-05,0.0
2016-04-06,-20.0
2016-04-07,37.5
2016-04-08,-48.0682
2016-04-11,-38.7309
2016-04-12,14.2857
2016-04-13,-12.1875
2016-04-14,-14.5907
2016-04-15,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,-17.0833
2016-04-21,4.0201
2016-04-22,0.0
2016-04-25,0.0
2016-04-26,-3.6231999999999998
2016-04-27,-11.7794
2016-04-28,0.0
2016-05-02,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-10,0.0
