ticker,HTBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-24,-4.3
2013-07-25,-2.9257999999999997
2013-07-26,-0.1076
2013-07-29,-1.2931
2013-07-30,2.1834
2013-07-31,6.0897
2013-08-01,1.2085
2013-08-02,0.398
2013-08-05,-0.3964
2013-08-06,-0.9938
2013-08-07,0.5012
2013-08-08,-2.2
2013-08-09,0.3067
2013-08-12,3.4659
2013-08-13,-3.0542
2013-08-14,1.626
2013-08-15,-1.3
2013-08-16,3.2421
2013-08-19,-0.8832
2013-08-20,0.495
2013-08-21,-0.7882
2013-08-22,0.1986
2013-08-23,0.0991
2013-08-26,-0.495
2013-08-27,0.0
2013-08-28,-0.398
2013-08-29,-0.3996
2013-08-30,0.2006
2013-09-03,-0.3003
2013-09-04,-0.2008
2013-09-05,-0.9054
2013-09-06,-1.0152
2013-09-09,1.5385
2013-09-10,0.2033
2013-09-11,0.3024
2013-09-12,9.5464
2013-09-13,0.9174
2013-09-16,13.5455
2013-09-17,-2.4019
2013-09-18,9.8441
2013-09-19,-4.481
2013-09-20,-3.7529
2013-09-23,4.3054
2013-09-24,-6.3084
2013-09-25,-1.9119000000000002
2013-09-26,-0.1695
2013-09-27,11.9694
2013-09-30,-5.6861
2013-10-01,1.2862
2013-10-02,15.873
2013-10-03,-5.8219
2013-10-04,1.7455
2013-10-07,-4.7177
2013-10-08,-2.6257
2013-10-09,-7.7812
2013-10-10,-1.5873
2013-10-11,-3.7351
2013-10-14,-3.7919
2013-10-15,-0.8249
2013-10-16,2.7725999999999997
2013-10-17,-2.6079
2013-10-18,2.7701000000000002
2013-10-21,-4.2228
2013-10-22,-0.8443
2013-10-23,-1.1353
2013-10-24,-1.244
2013-10-25,0.1938
2013-10-28,-2.2244
2013-10-29,-2.5717
2013-10-30,-6.3959
2013-10-31,-1.8437999999999999
2013-11-01,7.2928
2013-11-04,0.5149
2013-11-05,-1.4344000000000001
2013-11-06,-4.6777999999999995
2013-11-07,-8.615
2013-11-08,9.7852
2013-11-11,-6.7391
2013-11-12,-4.662
2013-11-13,10.5134
2013-11-14,-7.0796
2013-11-15,1.7856999999999998
2013-11-18,-5.4971
2013-11-19,-2.8465
2013-11-20,1.9108
2013-11-21,-4.125
2013-11-22,4.9544
2013-11-25,8.323
2013-11-26,5.1606
2013-11-27,-8.615
2013-11-29,-1.9093
2013-12-02,-6.4477
2013-12-03,0.5202
2013-12-04,8.0207
2013-12-05,-1.7964
2013-12-06,0.122
2013-12-09,0.3654
